# GENRE,SUB-GENRE,TOPIC,REVENUE
Arts & Photography,How-to Crafts,,2711
,Coffee-table,Photography,2309
Children's Books,Baby Books,,16092
,Age 3-5,1st Readers,24514
,,ABCs,17771
,,Tolstoy for Tots,13295
,Age 6-8,,14046
,Pre-Teen & Teen,,18046
Computers & Internet,Troubleshooting,,4527
Mystery,Crime,Fiction,11186
,,True Crime,8790
,Spy,,6516
,,True Spy,3809
Nonfiction,Health,Diet,3293
,,Fitness,6891
,History,,1131
Magazine,Fashion,Women's,7315
,,Men's,2222
,Home,,2612
,Other,,3140
,Sports,Sport's Illustrated,8009
,,MMA,4257
Romance,Break up,Teen,6205
,,Young Adult,25193
,,Audiobooks,3045
,Make Up,,15050
Science Fiction & Fantasy,Apocalyptic,,10200
,Comics,,3456

