1       1       Toronto (Mississauga, Brampton)         Ontario         CMA     5,928,040       5,583,064       +6.18%
2       2       Montreal (Laval, Longueuil)     Quebec  CMA     4,098,927       3,934,078       +4.19%
3       3       Vancouver (Surrey)      British Columbia        CMA     2,463,431       2,313,328       +6.49%
4       5       Calgary         Alberta         CMA     1,392,609       1,214,839       +14.63%
5       4       Ottawa–Gatineau         Ontario/Quebec  CMA     1,323,783       1,254,919       +5.49%
6       6       Edmonton        Alberta         CMA     1,321,426       1,159,869       +13.93%
7       7       Quebec City (Lévis)     Quebec  CMA     800,296         767,310         +4.30%
8       8       Winnipeg        Manitoba        CMA     778,489         730,018         +6.64%
9       9       Hamilton (Burlington)   Ontario         CMA     747,545         721,053         +3.67%
10      10      Kitchener–Cambridge–Waterloo    Ontario         CMA     523,894         496,383         +5.54%
11      11      London  Ontario         CMA     494,069         474,786         +4.06%
12      12      St. Catharines - Niagara (Niagara Falls, Welland)       Ontario         CMA     406,074         392,184         +3.54%
13      13      Halifax         Nova Scotia     CMA     403,390         390,328         +3.35%
14      14      Oshawa (Whitby, Clarington)     Ontario         CMA     379,848         356,177         +6.65%
15      15      Victoria (Saanich)      British Columbia        CMA     367,770         344,580         +6.73%
16      16      Windsor (Lakeshore)     Ontario         CMA     329,144         319,246         +3.10%
17      17      Saskatoon       Saskatchewan    CMA     295,095         262,215         +12.54%
18      18      Regina  Saskatchewan    CMA     236,481         211,519         +11.80%
19      19      Sherbrooke (Magog)      Quebec  CMA     212,105         202,261         +4.87%
20      20      St. John's (Conception Bay South, Mount Pearl, Paradise)        Newfoundland and Labrador       CMA     205,955         196,954         +4.57%
21      21      Barrie (Innisfil)       Ontario         CMA     197,059         187,013         +5.37%
22      22      Kelowna (West Kelowna)  British Columbia        CMA     194,882         179,839         +8.36%
23      23      Abbotsford - Mission    British Columbia        CMA     180,518         170,191         +6.07%
24      24      Greater Sudbury         Ontario         CMA     164,689         163,067         +0.99%
25      25      Kingston (South Frontenac, Loyalist)    Ontario         CMA     161,175         159,561         +1.01%
26      26      Saguenay        Quebec  CMA     160,980         158,658         +1.46%
27      27      Trois-Rivières  Quebec  CMA     156,042         151,773         +2.81%
28      28      Guelph  Ontario         CMA     151,984         141,097         +7.72%
29      29      Moncton (Dieppe, Riverview)     New Brunswick   CMA     144,810         139,287         +3.97%
30      30      Brantford (Brant)       Ontario         CMA     134,203         135,501         −0.96%
31      31      Saint John (Quispamsis)         New Brunswick   CMA     126,202         129,057         −2.21%
32      33      Peterborough (Selwyn)   Ontario         CMA     121,721         118,975         +2.31%
