Name	Color
Aromas/Dry Distillation/Carbony/Ashy/Burnt	#4a5072
Aromas/Dry Distillation/Carbony/Ashy/Charred	#393e64
Aromas/Dry Distillation/Carbony/Smokey/Tarry	#2e6093
Aromas/Dry Distillation/Carbony/Smokey/Pipe Tobacco	#3a5988
Aromas/Dry Distillation/Resinous/Medicinal/Camphoric	#8f5c85
Aromas/Dry Distillation/Resinous/Medicinal/Cineolic	#934b8b
Aromas/Dry Distillation/Resinous/Turpeny/Piney	#72659d
Aromas/Dry Distillation/Resinous/Turpeny/Blackcurrant-like	#8a6e9e
Aromas/Dry Distillation/Spicy/Pungent/Clove	#8b6397
Aromas/Dry Distillation/Spicy/Pungent/Thyme	#716084
Aromas/Dry Distillation/Spicy/Warming/Cedar	#9d4e87
Aromas/Dry Distillation/Spicy/Warming/Pepper	#92538c
Aromas/Enzymatic/Flowery/Floral/Coffee Blossom	#f9f0ab
Aromas/Enzymatic/Flowery/Floral/Tea Rose	#e8e596
Aromas/Enzymatic/Flowery/Fragrant/Cardamon Caraway	#f0e2a3
Aromas/Enzymatic/Flowery/Fragrant/Coriander Seeds	#ede487
Aromas/Enzymatic/Fruity/Berry-like/Apricot	#f1c298
Aromas/Enzymatic/Fruity/Berry-like/Blackberry	#e8b598
Aromas/Enzymatic/Fruity/Citrus/Lemon	#efd580
Aromas/Enzymatic/Fruity/Citrus/Apple	#f1cb82
Aromas/Enzymatic/Herby/Alliaceous/Onion	#d5dda1
Aromas/Enzymatic/Herby/Alliaceous/Garlic	#c9d2b5
Aromas/Enzymatic/Herby/Leguminous/Cucumber	#aec1ad
Aromas/Enzymatic/Herby/Leguminous/Garden Peas	#a7b8a8
Aromas/Sugar Browning/Carmelly/Candy-like/Roasted Hazelnut	#d6a680
Aromas/Sugar Browning/Carmelly/Candy-like/Roasted Almond	#dfad70
Aromas/Sugar Browning/Carmelly/Syrup-like/Honey	#a2765d
Aromas/Sugar Browning/Carmelly/Syrup-like/Maple Syrup	#9f6652
Aromas/Sugar Browning/Chocolatey/Chocolate-like/Bakers	#b9763f
Aromas/Sugar Browning/Chocolatey/Chocolate-like/Dark Chocolate	#bf6e5d
Aromas/Sugar Browning/Chocolatey/Vanilla-like/Swiss	#af643c
Aromas/Sugar Browning/Chocolatey/Vanilla-like/Butter	#9b4c3f
Aromas/Sugar Browning/Nutty/Malt-like/Balsamic Rice	#a97d32
Aromas/Sugar Browning/Nutty/Malt-like/Toast	#b68334
Aromas/Sugar Browning/Nutty/Nut-like/Roasted Peanuts	#b49a3d
Aromas/Sugar Browning/Nutty/Nut-like/Walnuts	#b28647
Tastes/Bitter/Harsh/Caustic	#e098b0
Tastes/Bitter/Harsh/Alkaline	#ee82a2
Tastes/Bitter/Pungent/Creosol	#aaa1cc
Tastes/Bitter/Pungent/Phenolic	#e0b5c9
Tastes/Salt/Bland/Neutral	#eeb798
Tastes/Salt/Bland/Soft	#ecc099
Tastes/Salt/Sharp/Astringent	#ef91ac
Tastes/Salt/Sharp/Rough	#eda994
Tastes/Sour/Soury/Hard	#ebe378
Tastes/Sour/Soury/Acrid	#f5e351
Tastes/Sour/Winey/Tangy	#dbdc7f
Tastes/Sour/Winey/Tart	#dfd961
Tastes/Sweet/Acidy/Nippy	#efd95f
Tastes/Sweet/Acidy/Piquant	#eee469
Tastes/Sweet/Mellow/Delicate	#f6d5aa
Tastes/Sweet/Mellow/Mild	#f0d48a
