Id,X,Y,Z,A,B,Group,D,E,F,G,H
1,-0.9886,-0.4497,-0.002,0,1,A,1,0,0,0,1
2,-0.9898,0.4063,-0.0044,0,1,A,1,0,0,0,1
3,-0.9847,0.4138,0.0058,0,1,A,1,0,0,0,0.99
4,-0.9815,0.4862,0.0018,0,1,A,1,0,0,0,1
5,-0.9797,-0.4092,0.0006,0,1,A,1,0,0,0,1
6,-0.9778,0.4665,-0.001,0,1,A,1,0,0,0,1
7,-0.9773,-0.5069,0.0007,0,1,A,1,0,0,0,1
8,-0.9763,-0.4099,0.0046,0,1,A,1,0,0,0,1
9,-0.974,0.5078,-0.0016,0,1,A,1,0,0,0,1
10,-0.9666,-0.5765,0.0039,0,1,A,1,0,0,0,1
11,-0.9729,-0.4716,0.0033,0,1,A,1,0,0,0,1
12,-0.9719,0.4422,0.0101,0,1,A,1,0,0,0,0.99
13,-0.9668,0.5876,-0.0044,0,1,A,1,0,0,0,1
14,-0.9619,-0.5827,-0.0029,0,1,A,1,0,0,0,1
15,-0.9687,0.4119,0.0132,0,1,A,1,0,0,0,0.99
16,-0.9652,0.5,0.0091,0,1,A,1,0,0,0,0.99
17,-0.9568,-0.6267,-0.002,0,1,A,1,0,0,0,1
18,-0.9607,-0.5821,0.0002,0,1,A,1,0,0,0,1
19,-0.9562,0.3323,0.0165,0,1,A,1,0,0,0,0.99
20,-0.9554,0.4674,0.014,0,1,A,1,0,0,0,0.99
21,-0.9554,0.6082,0.001,0,1,A,1,0,0,0,1
22,-0.9543,-0.6327,-0.0024,0,1,A,1,0,0,0,1
23,-0.9574,-0.5672,0.005,0,1,A,1,0,0,0,1
24,-0.9518,-0.3306,0.0234,0,1,A,1,0,0,0,0.99
25,-0.9582,0.3988,0.0249,0,1,A,1,0,0,0,0.99
26,-0.9569,0.5354,0.0076,0,1,A,1,0,0,0,0.99
27,-0.9518,-0.6632,-0.0011,0,1,A,1,0,0,0,1
28,-0.9452,-0.6334,0.0038,0,1,A,1,0,0,0,1
29,-0.9466,-0.5704,0.0145,0,1,A,1,0,0,0,0.99
30,-0.9517,-0.2159,0.032,0,1,A,1,0,0,0,0.98
31,-0.9544,0.4973,0.0212,0,1,A,1,0,0,0,0.99
32,-0.9451,0.5718,0.004,0,1,A,1,0,0,0,1
33,-0.9413,-0.6678,-0.0024,0,1,A,1,0,0,0,1
34,-0.9475,-0.6338,0.0013,0,1,A,1,0,0,0,1
35,-0.9449,-0.4275,0.0279,0,1,A,1,0,0,0,0.98
36,-0.944,-0.3335,0.0354,0,1,A,1,0,0,0,0.98
37,-0.9496,0.3956,0.0365,0,1,A,1,0,0,0,0.98
38,-0.9456,0.4902,0.0244,0,1,A,1,0,0,0,0.99
39,-0.9411,0.651,-0.0008,0,1,A,1,0,0,0,1
40,-0.9378,-0.6693,-0.0028,0,1,A,1,0,0,0,1
41,-0.9402,-0.5973,0.0127,0,1,A,1,0,0,0,0.99
42,-0.9379,-0.5205,0.0361,0,1,A,1,0,0,0,0.98
43,-0.9406,-0.2046,0.0366,0,1,A,1,0,0,0,0.98
44,-0.937,0.2905,0.0419,0,1,A,1,0,0,0,0.98
45,-0.9405,0.5643,0.0154,0,1,A,1,0,0,0,0.99
46,-0.9411,0.6355,0.0033,0,1,A,1,0,0,0,1
47,-0.9376,-0.6671,0.002,0,1,A,1,0,0,0,1
48,-0.9348,-0.6225,0.0134,0,1,A,1,0,0,0,0.99
49,-0.93,-0.3059,0.0438,0,1,A,1,0,0,0,0.98
50,-0.9335,-0.2072,0.0423,0,1,A,1,0,0,0,0.98
51,-0.9386,0.3248,0.0511,0,1,A,1,0,0,0,0.97
52,-0.9396,0.5174,0.0277,0,1,A,1,0,0,0,0.98
53,-0.9326,0.6703,-0.0019,0,1,A,1,0,0,0,1
54,-0.9297,-0.7084,-0.0014,0,1,A,1,0,0,0,1
55,-0.9277,-0.6369,0.0132,0,1,A,1,0,0,0,0.99
56,-0.9259,-0.3778,0.0561,0,1,A,1,0,0,0,0.97
57,-0.9254,-0.234,0.0475,0,1,A,1,0,0,0,0.97
58,-0.9252,-0.075,0.054,0,1,A,1,0,0,0,0.97
59,-0.9277,0.1081,0.055,0,1,A,1,0,0,0,0.97
60,-0.9275,0.3136,0.0637,0,1,A,1,0,0,0,0.97
61,-0.9341,0.5025,0.0387,0,1,A,1,0,0,0,0.98
62,-0.9254,0.5279,0.0242,0,1,A,1,0,0,0,0.99
63,-0.9308,0.6786,0.0008,0,1,A,1,0,0,0,1
64,-0.9294,-0.716,-0.0038,0,1,A,1,0,0,0,1
65,-0.9263,-0.6395,0.0135,0,1,A,1,0,0,0,0.99
66,-0.9271,-0.6058,0.0367,0,1,A,1,0,0,0,0.98
67,-0.9207,-0.2871,0.0523,0,1,A,1,0,0,0,0.97
68,-0.9209,-0.167,0.0643,0,1,A,1,0,0,0,0.97
69,-0.9273,0.1016,0.0574,0,1,A,1,0,0,0,0.97
70,-0.9245,0.2794,0.0654,0,1,A,1,0,0,0,0.96
71,-0.9251,0.3428,0.0771,0.01,1,A,1,0,0,0,0.96
72,-0.9223,0.3815,0.0723,0.01,1,A,1,0,0,0,0.96
73,-0.9218,0.5338,0.0317,0,1,A,1,0,0,0,0.98
74,-0.9217,0.5971,0.019,0,1,A,1,0,0,0,0.99
75,-0.9285,0.706,0.0001,0,1,A,1,0,0,0,1
76,-0.9151,-0.7103,0.0005,0,1,A,1,0,0,0,1
77,-0.918,-0.6195,0.0376,0,1,A,1,0,0,0,0.98
78,-0.9228,-0.5523,0.061,0,1,A,1,0,0,0,0.97
79,-0.9203,-0.3444,0.0645,0,1,A,1,0,0,0,0.97
80,-0.9227,-0.2937,0.0562,0,1,A,1,0,0,0,0.97
81,-0.9164,0.1131,0.0665,0,1,A,1,0,0,0,0.96
82,-0.9195,0.2778,0.0702,0.01,1,A,1,0,0,0,0.96
83,-0.9168,0.5161,0.0411,0,1,A,1,0,0,0,0.98
84,-0.9213,0.5789,0.0224,0,1,A,1,0,0,0,0.99
85,-0.9232,0.694,-0.0006,0,1,A,1,0,0,0,1
86,-0.9156,0.7283,0.0014,0,1,A,1,0,0,0,1
87,-0.91,-0.6659,0.0118,0,1,A,1,0,0,0,0.99
88,-0.9106,-0.6137,0.0427,0,1,A,1,0,0,0,0.98
89,-0.9166,-0.4663,0.0736,0.01,1,A,1,0,0,0,0.96
90,-0.9148,-0.4159,0.0698,0.01,1,A,1,0,0,0,0.96
91,-0.9145,-0.2886,0.0628,0,1,A,1,0,0,0,0.97
92,-0.9153,-0.235,0.0654,0,1,A,1,0,0,0,0.96
93,-0.9163,-0.0599,0.0744,0.01,1,A,1,0,0,0,0.96
94,-0.9197,-0.0227,0.0775,0.01,1,A,1,0,0,0,0.96
95,-0.9166,0.1004,0.0727,0.01,1,A,1,0,0,0,0.96
96,-0.9164,0.1633,0.0813,0.01,1,A,1,0,0,0,0.96
97,-0.9178,0.336,0.0842,0.01,1,A,1,0,0,0,0.96
98,-0.9122,0.4235,0.0781,0.01,1,A,1,0,0,0,0.96
99,-0.9115,0.5815,0.0331,0,1,A,1,0,0,0,0.98
100,-0.911,0.6833,0.0097,0,1,A,1,0,0,0,0.99
101,-0.9057,-0.7396,-0.0009,0,1,A,1,0,0,0,1
102,-0.9078,-0.7188,0.0004,0,1,A,1,0,0,0,1
103,-0.9144,-0.6004,0.0585,0,1,A,1,0,0,0,0.97
104,-0.9128,-0.473,0.0787,0.01,1,A,1,0,0,0,0.96
105,-0.9126,-0.3489,0.0829,0.01,1,A,1,0,0,0,0.96
106,-0.9049,-0.2974,0.0709,0,1,A,1,0,0,0,0.96
107,-0.9105,-0.1762,0.0804,0.01,1,A,1,0,0,0,0.96
108,-0.9125,-0.1159,0.0809,0.01,1,A,1,0,0,0,0.96
109,-0.9117,-0.04,0.0857,0.01,1,A,1,0,0,0,0.95
110,-0.9097,0.0134,0.0872,0.01,1,A,1,0,0,0,0.95
111,-0.9057,0.2441,0.0866,0.01,1,A,1,0,0,0,0.95
112,-0.9069,0.3361,0.0962,0.01,1,A,1,0,0,0,0.95
113,-0.9073,0.4158,0.0909,0.01,1,A,1,0,0,0,0.95
114,-0.9123,0.5442,0.0469,0,1,A,1,0,0,0,0.97
115,-0.9144,0.6688,0.0084,0,1,A,1,0,0,0,0.99
116,-0.9117,0.715,0.0022,0,1,A,1,0,0,0,1
117,-0.9089,-0.7449,-0.0037,0,1,A,1,0,0,0,1
118,-0.9013,-0.7191,0.0065,0,1,A,1,0,0,0,0.99
119,-0.9051,-0.4711,0.0893,0.01,1,A,1,0,0,0,0.95
120,-0.909,-0.3979,0.0911,0.01,1,A,1,0,0,0,0.95
121,-0.9034,-0.2912,0.0769,0.01,1,A,1,0,0,0,0.96
122,-0.9093,-0.2496,0.0803,0.01,1,A,1,0,0,0,0.96
123,-0.9036,-0.1715,0.0811,0.01,1,A,1,0,0,0,0.96
124,-0.9041,-0.1578,0.09,0.01,1,A,1,0,0,0,0.95
125,-0.901,-0.0757,0.0897,0.01,1,A,1,0,0,0,0.95
126,-0.8998,-0.0331,0.0938,0.01,1,A,1,0,0,0,0.95
127,-0.9016,0.0312,0.0897,0.01,1,A,1,0,0,0,0.95
128,-0.908,0.0806,0.0879,0.01,1,A,1,0,0,0,0.95
129,-0.9001,0.2323,0.0979,0.01,1,A,1,0,0,0,0.95
130,-0.9027,0.3989,0.106,0.01,1,A,1,0,0,0,0.94
131,-0.9002,0.5232,0.0624,0,1,A,1,0,0,0,0.97
132,-0.9046,0.6106,0.0368,0,1,A,1,0,0,0,0.98
133,-0.8999,0.7268,0.0049,0,1,A,1,0,0,0,1
134,-0.9024,0.7572,-0.0038,0,1,A,1,0,0,0,1
135,-0.9017,-0.7135,0.0113,0,1,A,1,0,0,0,0.99
136,-0.8991,-0.6703,0.0355,0,1,A,1,0,0,0,0.98
137,-0.9025,-0.4636,0.1058,0.01,1,A,1,0,0,0,0.94
138,-0.9016,-0.3866,0.0931,0.01,1,A,1,0,0,0,0.95
139,-0.9029,-0.2859,0.0913,0.01,1,A,1,0,0,0,0.95
140,-0.8987,-0.1756,0.093,0.01,1,A,1,0,0,0,0.95
141,-0.902,-0.0607,0.1002,0.01,1,A,1,0,0,0,0.95
142,-0.9006,-0.0326,0.1114,0.01,1,A,1,0,0,0,0.94
143,-0.897,0.0825,0.0931,0.01,1,A,1,0,0,0,0.95
144,-0.9022,0.2362,0.1044,0.01,1,A,1,0,0,0,0.95
145,-0.8954,0.33,0.1158,0.01,1,A,1,0,0,0,0.94
146,-0.9024,0.4409,0.106,0.01,1,A,1,0,0,0,0.94
147,-0.8955,0.5639,0.0529,0,1,A,1,0,0,0,0.97
148,-0.896,0.6378,0.0306,0,1,A,1,0,0,0,0.98
149,-0.9026,0.7303,-0.0012,0,1,A,1,0,0,0,1
150,-0.8909,-0.7757,0.0002,0,1,A,1,0,0,0,1
151,-0.891,-0.7295,0.0074,0,1,A,1,0,0,0,0.99
152,-0.8932,-0.6814,0.0358,0,1,A,1,0,0,0,0.98
