State,State code,County/state name,% of precincts reporting,Votes for Obama,% votes for Obama,Votes for Romney,% votes for Romney,Total votes
"Alaska","AK","Alaska",98.6301,90743,41.5022,120329,55.0337,218646
"Alabama","AL","Cleburne",100,971,15.4078,5269,83.6084,6302
"Alabama","AL","Winston",100,1286,13.2414,8310,85.5643,9712
"Alabama","AL","Lamar",100,1643,22.9501,5453,76.1699,7159
"Alabama","AL","Clay",100,1770,26.6566,4802,72.3193,6640
"Alabama","AL","Fayette",100,1803,22.7882,6034,76.2639,7912
"Alabama","AL","Geneva",100,2039,18.0156,9173,81.0479,11318
"Alabama","AL","Crenshaw",100,2048,31.9451,4326,67.4778,6411
"Alabama","AL","Cherokee",100,2126,21.7806,7494,76.7749,9761
"Alabama","AL","Coosa",100,2188,41.7318,3028,57.7532,5243
"Alabama","AL","Bibb",100,2200,26.2186,6131,73.0664,8391
"Alabama","AL","Marion",100,2249,18.5806,9696,80.1058,12104
"Alabama","AL","Blount",100,2961,12.3478,20741,86.4929,23980
"Alabama","AL","Washington",100,2971,33.9117,5749,65.6204,8761
"Alabama","AL","Henry",100,3046,35.0115,5605,64.4253,8700
"Alabama","AL","Randolph",100,3076,29.6025,7219,69.4736,10391
"Alabama","AL","Covington",100,3155,20.4671,12148,78.8064,15415
"Alabama","AL","Franklin",100,3171,29.2016,7567,69.6841,10859
"Alabama","AL","Chilton",100,3391,19.4505,13910,79.7866,17434
"Alabama","AL","Conecuh",100,3551,50.6345,3434,48.9662,7013
"Alabama","AL","Choctaw",100,3785,47.5204,4150,52.103,7965
"Alabama","AL","Bullock",100,4058,76.3069,1250,23.5051,5318
"Alabama","AL","Butler",100,4367,46.0508,5081,53.5801,9483
"Alabama","AL","Pickens",100,4448,46.3382,5119,53.3285,9599
"Alabama","AL","Greene",100,4514,84.7222,799,14.9962,5328
"Alabama","AL","Perry",100,4536,74.7898,1504,24.798,6065
"Alabama","AL","Cullman",100,4855,14.6332,27930,84.1823,33178
