# META_DATA
#  column,x,type,real
#  column,y,type,real
#  column,label,type,string
#  column,color,type,color
#  column,symbol_type,type,symbol_type
#  column,symbol_size,type,symbol_size
#  column,font_size,type,font_size
# END_META_DATA
x,y,label,color,symbol_type,symbol_size,font_size
1,1,One,red,circle,5px,7px
2,2,Two,green,square,8px,9px
3,3,Three,blue,triangle,16px,8px
4,4,Four,contrast,y,16px,10px
5,5,Five,palette,char:#,1V,12px
6,5,Six,interface,svg:data/weather_cloudy.svg,2V,14px bold
7,4,Seven,palette 0.5,svg:data/weather_overcast.svg,0.1P,16 italic
8,3,Eight,interface 0.5,,0.2P,12px
9,2,Nine,ind_palette 2,,5ex,18px
10,1,Ten,,,,
