From,To,Value
NLNqB,IMUGuj,73
NLNqB,kbtHZ,13
NLNqB,DdNoOE,79
NLNqB,ZLlQlk,20
NLNqB,ARs,39
NLNqB,dMocF,29
NLNqB,WfR,55
NLNqB,vZQSOK,81
NLNqB,voQ,50
NLNqB,qzNZM,3
NLNqB,ChnnaT,29
NLNqB,pdEdB,75
NLNqB,QXkxcU,5
NLNqB,dbydP,36
goot,IMUGuj,1
goot,kbtHZ,100
goot,DdNoOE,78
goot,ZLlQlk,36
goot,ARs,91
goot,dMocF,60
goot,WfR,3
goot,vZQSOK,89
goot,voQ,3
goot,qzNZM,29
goot,ChnnaT,87
goot,pdEdB,61
goot,QXkxcU,62
goot,dbydP,28
goot,jJtbQ,4
goot,hpuRG,6
goot,mQnmds,21
goot,tVY,58
goot,UaDodA,95
goot,SsKCZ,66
goot,yKg,30
goot,DmvXwQ,31
goot,wHOvgy,58
goot,bdbB,48
goot,mfjv,16
goot,UwgqYD,90
goot,Yaellh,100
goot,wCTN,40
goot,NDV,52
goot,LcEhK,93
goot,HQEck,86
goot,ADvyIm,87
goot,IJLs,36
goot,kycGN,35
goot,EraEo,8
goot,pdCFzI,6
goot,CGABq,2
goot,HTklb,27
goot,VJoe,15
goot,zxZzZk,12
goot,lrj,83
goot,gDI,73
goot,NJtCi,62
goot,OTgONr,76
goot,tEdZa,46
goot,AQgXq,71
goot,BuyD,15
goot,pQDv,54
goot,UeT,37
goot,rZFiOU,8
goot,HXBEO,2
goot,EBuQQ,69
goot,dcFh,95
goot,Aqifz,20
goot,FFRPNU,57
goot,rCoNP,94
goot,CCjC,15
goot,vKFo,1
goot,faIl,79
goot,IEt,88
goot,uRS,72
goot,ilNUu,44
goot,XGr,19
goot,Ibwr,11
goot,HML,90
goot,HunR,49
goot,nFZlW,52
goot,CFQjw,71
goot,lqRrD,70
goot,pKqYd,96
goot,qawHq,7
goot,eYOIc,14
goot,kJVpz,14
goot,pVQ,84
goot,bLOfQH,21
goot,tPkM,78
goot,zjZN,16
goot,RFrMA,70
goot,trmn,64
goot,vBjSZ,10
goot,vSCCpa,89
goot,FsgOt,55
goot,ZzmJ,89
goot,Bew,25
goot,godDDf,38
goot,IziO,79
goot,ycJG,12
goot,hUTU,16
goot,emyHMW,59
goot,MTmE,18
auY,IMUGuj,93
auY,kbtHZ,93
auY,DdNoOE,41
auY,ZLlQlk,28
auY,ARs,28
auY,dMocF,6
auY,WfR,18
auY,vZQSOK,83
auY,voQ,43
auY,qzNZM,86
auY,ChnnaT,86
auY,pdEdB,81
auY,QXkxcU,42
auY,dbydP,85
auY,jJtbQ,55
auY,hpuRG,19
auY,mQnmds,44
auY,tVY,36
auY,UaDodA,82
auY,SsKCZ,30
auY,yKg,86
