State,Age < 18,Age 18-64,Age 65+,Region
Alabama,8.4,48.5,86.6,South
Alaska,13.9,59.6,92.3,West
Arizona,14.5,61.3,93.8,West
Arkansas,12.1,54.3,86.1,South
California,19.9,75.5,99.9,West
Colorado,19.3,70.9,96.9,West
Connecticut,23.5,78.5,99.9,Northeast
Delaware,16.5,67.1,99.9,South
Florida,14.9,64.8,99.0,South
Georgia,11.6,54.4,90.0,South
Hawaii,21.6,79.2,99.9,West
Idaho,0.3,50.3,90.5,West
Illinois,19.9,70.6,96.9,Midwest
Indiana,11.1,52.9,89.5,Midwest
Iowa,12.8,59.6,94.5,Midwest
Kansas,13.3,60.0,99.8,Midwest
Kentucky,12.3,59.0,93.2,South
Louisiana,8.8,48.5,87.8,South
Maine,19.9,74.4,99.9,Northeast
Maryland,20.5,74.4,99.5,South
Massachusetts,25.2,82.0,99.9,Northeast
Michigan,13.0,58.3,91.4,Midwest
Minnesota,16.9,67.5,99.6,Midwest
Mississippi,8.1,44.3,84.2,South
Missouri,11.7,54.7,87.9,Midwest
Montana,11.1,53.6,91.0,West
Nebraska,14.2,62.8,95.2,Midwest
Nevada,14.4,64.6,91.7,West
New Hampshire,19.3,70.3,99.9,Northeast
New Jersey,19.2,77.1,95.8,Northeast
New Mexico,20.2,75.2,99.9,West
New York,16.9,72.6,92.2,Northeast
North Carolina,13.7,58.5,91.4,South
North Dakota,8.9,50.3,89.5,Midwest
Ohio,11.4,54.6,89.8,Midwest
Oklahoma,10.8,55.4,91.0,South
Oregon,18.4,69.1,95.2,West
Pennsylvania,17.1,71.3,99.9,Northeast
Rhode Island,21.5,74.8,99.9,Northeast
South Carolina,10.4,51.0,94.0,South
South Dakota,12.5,60.0,99.5,Midwest
Tennessee,9.3,50.5,86.9,South
Texas,15.2,64.1,92.4,South
Utah,14.9,67.6,99.9,West
Vermont,25.3,81.3,99.9,Northeast
Virginia,20.1,70.7,97.1,South
Washington,18.7,75.8,99.9,West
"Washington, D.C.",14.7,75.2,92.1,Northeast
West Virginia,10.7,45.9,81.4,Northeast
Wisconsin,14.4,61.3,97.8,South
Wyoming,7.7,44.6,86.3,West
