Name,Value
A1/B1/C1,1.6
A1/B1/C2,8.1
A1/B1/C3,7.3
A1/B2/C4,2.4
A1/B2/C5,8.2
A1/B2/C6,0.7
A1/B2/C7,2.1
A1/B2/C8,1.7
A1/B2/C9,2.2
A1/B2/C10,1.1
A1/B2/C11,5.1
A1/B2/C12,1.3
A1/B2/C13,3.1
A1/B2/C14,1.8
A1/B2/C15,8.1
A2/B3/C16,1.2
A2/B3/C17,2.1
A2/B3/C18,1.7
A2/B3/C19,4.1
A2/B3/C20,1.0
A2/B3/C21,5.1
A2/B3/C22,1.6
A2/B3/C23,9.1
A2/B4/C24,1.5
A2/B4/C25,1.2
A2/B4/C26,0.8
A2/B4/C27,0.3
A2/B4/C28,2.1
A2/B4/C29,1.6
A2/B4/C30,5.1
A2/B4/C31,1.3
A2/B4/C32,6.1
A2/B4/C33,1.6
A1,1
A1/B1,2
A1/B2,3
A2,2
A2/B3,2
A2/B4,6
