Value,Group
1,Layer1
1,Layer2
1,Layer3
2,Layer1
2,Layer2
2,Layer3
2,Layer4
2,Layer5
2,Layer6
2,Layer7
2,Layer8
3,Layer1
3,Layer2
3,Layer3
3,Layer4
4,Layer1
4,Layer2
4,Layer3
4,Layer4
4,Layer5
4,Layer6
4,Layer7
5,Layer1
5,Layer2
5,Layer3
5,Layer4
5,Layer5
5,Layer6
5,Layer7
5,Layer8
5,Layer9
5,Layer10
5,Layer11
5,Layer12
5,Layer13
5,Layer14
5,Layer15
10,Layer1
10,Layer2
10,Layer3
10,Layer4
11,Layer1
11,Layer2
11,Layer3
12,Layer1
12,Layer2
12,Layer3
12,Layer4
12,Layer5
12,Layer6
13,Layer1
13,Layer2
13,Layer3
