From,To,Attributes,Graph
"//absl/random/internal:nonsecure_base",,"shape=box",mygraph
"//absl/random/internal:nonsecure_base","//absl/random/internal:pool_urbg","shape=box",mygraph
"//absl/random/internal:nonsecure_base","//absl/random/internal:salted_seed_seq","shape=box",mygraph
"//absl/random/internal:nonsecure_base","//absl/random/internal:seed_material","shape=box",mygraph
"//absl/random/internal:pool_urbg",,"shape=box",mygraph
"//absl/random/internal:pool_urbg","//absl/random/internal:seed_material","shape=box",mygraph
"//absl/random/internal:salted_seed_seq",,"shape=box",mygraph
"//absl/random/internal:salted_seed_seq","//absl/random/internal:seed_material","shape=box",mygraph
"//absl/random/internal:seed_material",,"shape=box",mygraph
"//absl/random/internal:seed_material","//absl/strings:strings","shape=box",mygraph
"//absl/random:distributions",,"shape=box",mygraph
"//absl/random:distributions","//absl/strings:strings","shape=box",mygraph
"//absl/random:random",,"shape=box",mygraph
"//absl/random:random","//absl/random:distributions","shape=box",mygraph
"//absl/random:random","//absl/random:seed_sequences","shape=box",mygraph
"//absl/random:random","//absl/random/internal:pool_urbg","shape=box",mygraph
"//absl/random:random","//absl/random/internal:nonsecure_base","shape=box",mygraph
"//absl/random:seed_sequences",,"shape=box",mygraph
"//absl/random:seed_sequences","//absl/random/internal:seed_material","shape=box",mygraph
"//absl/random:seed_sequences","//absl/random/internal:salted_seed_seq","shape=box",mygraph
"//absl/random:seed_sequences","//absl/random/internal:pool_urbg","shape=box",mygraph
"//absl/random:seed_sequences","//absl/random/internal:nonsecure_base","shape=box",mygraph
"//absl/strings:strings",,"shape=box",mygraph
