From,To,Attributes,Graph
end,,"fillcolor='orange:blue',gradientangle=90,shape=Msquare,style=radial",G
start,,"fillcolor='yellow:brown',gradientangle=90,shape=Mdiamond,style=radial",G
start,a0,"shape=arrow",
start,b0,"shape=arrow",
a0,,"fillcolor='yellow:green',gradientangle=270,shape=circle,style=filled",G/cluster_0
a0,a1,"shape=arrow",G/cluster_0
a1,,"fillcolor='green:red',gradientangle=270,shape=circle,style=filled",G/cluster_0
a1,a2,"shape=arrow",G/cluster_0
a1,b3,"shape=arrow",
a2,,"fillcolor='red:cyan',gradientangle=270,shape=circle,style=filled",G/cluster_0
a2,a3,"shape=arrow",G/cluster_0
a3,,"fillcolor='cyan:blue',gradientangle=270,shape=circle,style=filled",G/cluster_0
a3,a0,"shape=arrow",G/cluster_0
a3,end,"shape=arrow",
b0,,"fillcolor='yellow:magenta',gradientangle=270,shape=circle,style=filled",G/cluster_1
b0,b1,"shape=arrow",G/cluster_1
b1,,"fillcolor='magenta:cyan',gradientangle=270,shape=circle,style=filled",G/cluster_1
b1,b2,"shape=arrow",G/cluster_1
b2,,"fillcolor='cyan:red',gradientangle=270,shape=circle,style=filled",G/cluster_1
b2,b3,"shape=arrow",G/cluster_1
b2,a3,"shape=arrow",
b3,,"fillcolor='red:blue',gradientangle=270,shape=circle,style=filled",G/cluster_1
b3,end,"shape=arrow",
