From,To,Attributes,Graph
n0,,"label='E',shape=box",L0
n0,n1,"shape=box",L0
n0,n4,"shape=box",L0
n0,n5,"shape=box",L0
n0,n39,"shape=box",L0
n0,n40,"shape=box",L0
n1,,"label='T',shape=box",L0
n1,n2,"shape=box",L0
n10,,"label='F',shape=box",L0
n10,n11,"shape=box",L0
n11,,"label='IDENT : b ',shape=box",L0
n12,,"label='*',shape=box",L0
n13,,"label='F',shape=box",L0
n13,n14,"shape=box",L0
n14,,"label='IDENT : c ',shape=box",L0
n15,,"label=')',shape=box",L0
n16,,"label='*',shape=box",L0
n17,,"label='F',shape=box",L0
n17,n18,"shape=box",L0
n17,n19,"shape=box",L0
n17,n38,"shape=box",L0
n18,,"label='(',shape=box",L0
n19,,"label='E',shape=box",L0
n19,n20,"shape=box",L0
n19,n26,"shape=box",L0
n19,n27,"shape=box",L0
n2,,"label='F',shape=box",L0
n2,n3,"shape=box",L0
n20,,"label='T',shape=box",L0
n20,n21,"shape=box",L0
n20,n23,"shape=box",L0
n20,n24,"shape=box",L0
n21,,"label='F',shape=box",L0
n21,n22,"shape=box",L0
n22,,"label='IDENT : d ',shape=box",L0
n23,,"label='*',shape=box",L0
n24,,"label='F',shape=box",L0
n24,n25,"shape=box",L0
n25,,"label='IDENT : e ',shape=box",L0
n26,,"label='+',shape=box",L0
n27,,"label='T',shape=box",L0
n27,n28,"shape=box",L0
n28,,"label='F',shape=box",L0
n28,n29,"shape=box",L0
n28,n30,"shape=box",L0
n28,n37,"shape=box",L0
n29,,"label='(',shape=box",L0
n3,,"label='IDENT : a ',shape=box",L0
n30,,"label='E',shape=box",L0
n30,n31,"shape=box",L0
n31,,"label='T',shape=box",L0
n31,n32,"shape=box",L0
n31,n34,"shape=box",L0
n31,n35,"shape=box",L0
n32,,"label='F',shape=box",L0
n32,n33,"shape=box",L0
n33,,"label='IDENT : a ',shape=box",L0
n34,,"label='*',shape=box",L0
n35,,"label='F',shape=box",L0
n35,n36,"shape=box",L0
n36,,"label='IDENT : b ',shape=box",L0
n37,,"label=')',shape=box",L0
n38,,"label=')',shape=box",L0
n39,,"label='+',shape=box",L0
n4,,"label='+',shape=box",L0
n40,,"label='T',shape=box",L0
n40,n41,"shape=box",L0
n41,,"label='F',shape=box",L0
n41,n42,"shape=box",L0
n42,,"label='IDENT : q ',shape=box",L0
n5,,"label='T',shape=box",L0
n5,n6,"shape=box",L0
n5,n16,"shape=box",L0
n5,n17,"shape=box",L0
n6,,"label='F',shape=box",L0
n6,n7,"shape=box",L0
n6,n8,"shape=box",L0
n6,n15,"shape=box",L0
n7,,"label='(',shape=box",L0
n8,,"label='E',shape=box",L0
n8,n9,"shape=box",L0
n9,,"label='T',shape=box",L0
n9,n10,"shape=box",L0
n9,n12,"shape=box",L0
n9,n13,"shape=box",L0
