From,To,Attributes,Graph
green1,,"shape=circle",TrafficLights
green1,gy1,"shape=circle",TrafficLights
green2,,"shape=circle",TrafficLights
green2,gy2,"shape=circle",TrafficLights
gy1,,"shape=box",TrafficLights
gy1,yellow1,"shape=circle",TrafficLights
gy2,,"shape=box",TrafficLights
gy2,yellow2,"shape=circle",TrafficLights
red1,,"shape=circle",TrafficLights
red1,rg1,"shape=circle",TrafficLights
red2,,"shape=circle",TrafficLights
red2,rg2,"shape=circle",TrafficLights
rg1,,"shape=box",TrafficLights
rg1,green1,"shape=circle",TrafficLights
rg2,,"shape=box",TrafficLights
rg2,green2,"shape=circle",TrafficLights
safe1,,"shape=circle",TrafficLights
safe1,rg1,"shape=circle",TrafficLights
safe2,,"shape=circle",TrafficLights
safe2,rg2,"shape=circle",TrafficLights
yellow1,,"shape=circle",TrafficLights
yellow1,yr1,"shape=circle",TrafficLights
yellow2,,"shape=circle",TrafficLights
yellow2,yr2,"shape=circle",TrafficLights
yr1,,"shape=box",TrafficLights
yr1,safe2,"shape=circle",TrafficLights
yr1,red1,"shape=circle",TrafficLights
yr2,,"shape=box",TrafficLights
yr2,safe1,"shape=circle",TrafficLights
yr2,red2,"shape=circle",TrafficLights
