From,To,Attributes,Graph
1,,"fillcolor='#00ff005f',shape=circle,style=filled",G
1,30,"shape=arrow",G
1,40,"shape=arrow",G
10,,"fillcolor='#00ff005f',shape=circle,style=filled",G
10,25,"shape=arrow",G
10,19,"shape=arrow",G
10,33,"shape=arrow",G
11,,"fillcolor='#00ff005f',shape=circle,style=filled",G
11,40,"shape=arrow",G
11,50,"shape=arrow",G
12,,"fillcolor='#00ff005f',shape=circle,style=filled",G
12,8,"shape=arrow",G
12,36,"shape=arrow",G
12,17,"shape=arrow",G
13,,"fillcolor='#00ff005f',shape=circle,style=filled",G
13,38,"shape=arrow",G
13,24,"shape=arrow",G
14,,"fillcolor='#00ff005f',shape=circle,style=filled",G
14,18,"shape=arrow",G
14,24,"shape=arrow",G
14,38,"shape=arrow",G
15,,"fillcolor='#00ff005f',shape=circle,style=filled",G
15,16,"shape=arrow",G
15,48,"shape=arrow",G
16,,"fillcolor='#00ff005f',shape=circle,style=filled",G
16,50,"shape=arrow",G
16,32,"shape=arrow",G
16,39,"shape=arrow",G
17,,"fillcolor='#00ff005f',shape=circle,style=filled",G
17,21,"shape=arrow",G
18,,"fillcolor='#00ff005f',shape=circle,style=filled",G
18,49,"shape=arrow",G
18,47,"shape=arrow",G
19,,"fillcolor='#00ff005f',shape=circle,style=filled",G
19,35,"shape=arrow",G
19,15,"shape=arrow",G
19,43,"shape=arrow",G
2,,"fillcolor='#00ff005f',shape=circle,style=filled",G
2,42,"shape=arrow",G
2,35,"shape=arrow",G
2,11,"shape=arrow",G
20,,"fillcolor='#00ff005f',shape=circle,style=filled",G
20,33,"shape=arrow",G
21,,"fillcolor='#00ff005f',shape=circle,style=filled",G
21,19,"shape=arrow",G
21,50,"shape=arrow",G
22,,"fillcolor='#00ff005f',shape=circle,style=filled",G
22,46,"shape=arrow",G
23,,"fillcolor='#00ff005f',shape=circle,style=filled",G
23,36,"shape=arrow",G
24,,"fillcolor='#00ff005f',shape=circle,style=filled",G
