From,To,Attributes,Graph
"1 BSD",,"shape=circle",unix
"1 BSD","2 BSD","shape=arrow",unix
"2 BSD",,"shape=circle",unix
"2 BSD","2.8 BSD","shape=arrow",unix
"2.8 BSD",,"shape=circle",unix
"2.8 BSD","Ultrix-11","shape=arrow",unix
"2.8 BSD","2.9 BSD","shape=arrow",unix
"2.9 BSD",,"shape=circle",unix
"3 BSD",,"shape=circle",unix
"3 BSD","4 BSD","shape=arrow",unix
"32V",,"shape=circle",unix
"32V","3 BSD","shape=arrow",unix
"4 BSD",,"shape=circle",unix
"4 BSD","4.1 BSD","shape=arrow",unix
"4.1 BSD",,"shape=circle",unix
"4.1 BSD","4.2 BSD","shape=arrow",unix
"4.1 BSD","2.8 BSD","shape=arrow",unix
"4.1 BSD","8th Edition","shape=arrow",unix
"4.2 BSD",,"shape=circle",unix
"4.2 BSD","4.3 BSD","shape=arrow",unix
"4.2 BSD","Ultrix-32","shape=arrow",unix
"4.3 BSD",,"shape=circle",unix
"5th Edition",,"shape=circle",unix
"5th Edition","6th Edition","shape=arrow",unix
"5th Edition","PWB 1.0","shape=arrow",unix
"6th Edition",,"shape=circle",unix
"6th Edition","LSX","shape=arrow",unix
"6th Edition","1 BSD","shape=arrow",unix
"6th Edition","Mini Unix","shape=arrow",unix
"6th Edition","Wollongong","shape=arrow",unix
"6th Edition","Interdata","shape=arrow",unix
"7th Edition",,"shape=circle",unix
"7th Edition","8th Edition","shape=arrow",unix
"7th Edition","32V","shape=arrow",unix
"7th Edition","V7M","shape=arrow",unix
"7th Edition","Ultrix-11","shape=arrow",unix
"7th Edition","Xenix","shape=arrow",unix
"7th Edition","UniPlus+","shape=arrow",unix
"8th Edition",,"shape=circle",unix
"8th Edition","9th Edition","shape=arrow",unix
"9th Edition",,"shape=circle",unix
"CB Unix 1",,"shape=circle",unix
"CB Unix 1","CB Unix 2","shape=arrow",unix
"CB Unix 2",,"shape=circle",unix
"CB Unix 2","CB Unix 3","shape=arrow",unix
"CB Unix 3",,"shape=circle",unix
"CB Unix 3","Unix/TS++","shape=arrow",unix
"CB Unix 3","PDP-11 Sys V","shape=arrow",unix
"CB Unix 3","TS 4.0","shape=arrow",unix
"Interdata",,"shape=circle",unix
"Interdata","Unix/TS 3.0","shape=arrow",unix
"Interdata","PWB 2.0","shape=arrow",unix
"Interdata","7th Edition","shape=arrow",unix
"LSX",,"shape=circle",unix
"Mini Unix",,"shape=circle",unix
"PDP-11 Sys V",,"shape=circle",unix
"PWB 1.0",,"shape=circle",unix
"PWB 1.0","PWB 1.2","shape=arrow",unix
"PWB 1.0","USG 1.0","shape=arrow",unix
"PWB 1.2",,"shape=circle",unix
"PWB 1.2","PWB 2.0","shape=arrow",unix
"PWB 2.0",,"shape=circle",unix
"PWB 2.0","Unix/TS 3.0","shape=arrow",unix
"System V.0",,"shape=circle",unix
"System V.0","System V.2","shape=arrow",unix
"System V.2",,"shape=circle",unix
"System V.2","System V.3","shape=arrow",unix
"System V.3",,"shape=circle",unix
"TS 4.0",,"shape=circle",unix
"TS 4.0","System V.0","shape=arrow",unix
"USG 1.0",,"shape=circle",unix
"USG 1.0","CB Unix 1","shape=arrow",unix
"USG 1.0","USG 2.0","shape=arrow",unix
"USG 2.0",,"shape=circle",unix
"USG 2.0","USG 3.0","shape=arrow",unix
"USG 3.0",,"shape=circle",unix
"USG 3.0","Unix/TS 3.0","shape=arrow",unix
"Ultrix-11",,"shape=circle",unix
"Ultrix-32",,"shape=circle",unix
"UniPlus+",,"shape=circle",unix
"Unix/TS 1.0",,"shape=circle",unix
"Unix/TS 1.0","Unix/TS 3.0","shape=arrow",unix
"Unix/TS 3.0",,"shape=circle",unix
"Unix/TS 3.0","TS 4.0","shape=arrow",unix
"Unix/TS++",,"shape=circle",unix
"Unix/TS++","TS 4.0","shape=arrow",unix
"V7M",,"shape=circle",unix
"V7M","Ultrix-11","shape=arrow",unix
"Wollongong",,"shape=circle",unix
"Xenix",,"shape=circle",unix
