From,To,Attributes,Graph
10,,"shape=circle",abstract
10,11,"shape=arrow",abstract
10,14,"shape=arrow",abstract
10,T1,"shape=arrow",abstract
10,13,"shape=arrow",abstract
10,12,"shape=arrow",abstract
11,,"shape=circle",abstract
11,4,"shape=arrow",abstract
12,,"shape=circle",abstract
12,29,"shape=arrow",abstract
13,,"shape=circle",abstract
13,19,"shape=arrow",abstract
14,,"shape=circle",abstract
14,15,"shape=arrow",abstract
15,,"shape=circle",abstract
15,T1,"shape=arrow",abstract
16,,"shape=circle",abstract
16,15,"shape=arrow",abstract
17,,"shape=circle",abstract
17,19,"shape=arrow",abstract
18,,"shape=circle",abstract
18,29,"shape=arrow",abstract
19,,"shape=circle",abstract
19,21,"shape=arrow",abstract
19,20,"shape=arrow",abstract
19,28,"shape=arrow",abstract
2,,"shape=circle",abstract
2,3,"shape=arrow",abstract
2,16,"shape=arrow",abstract
2,17,"shape=arrow",abstract
2,T1,"shape=arrow",abstract
2,18,"shape=arrow",abstract
20,,"shape=circle",abstract
20,15,"shape=arrow",abstract
21,,"shape=circle",abstract
21,22,"shape=arrow",abstract
22,,"shape=circle",abstract
22,23,"shape=arrow",abstract
22,T35,"shape=arrow",abstract
23,,"shape=circle",abstract
23,T24,"shape=arrow",abstract
23,T1,"shape=arrow",abstract
25,,"shape=circle",abstract
25,T1,"shape=arrow",abstract
25,26,"shape=arrow",abstract
26,,"shape=circle",abstract
26,4,"shape=arrow",abstract
27,,"shape=circle",abstract
27,T24,"shape=arrow",abstract
28,,"shape=circle",abstract
28,29,"shape=arrow",abstract
29,,"shape=circle",abstract
29,T30,"shape=arrow",abstract
3,,"shape=circle",abstract
3,4,"shape=arrow",abstract
31,,"shape=circle",abstract
31,T1,"shape=arrow",abstract
31,32,"shape=arrow",abstract
32,,"shape=circle",abstract
32,23,"shape=arrow",abstract
33,,"shape=circle",abstract
33,T30,"shape=arrow",abstract
33,34,"shape=arrow",abstract
34,,"shape=circle",abstract
34,29,"shape=arrow",abstract
36,,"shape=circle",abstract
36,19,"shape=arrow",abstract
37,,"shape=circle",abstract
37,39,"shape=arrow",abstract
37,41,"shape=arrow",abstract
37,38,"shape=arrow",abstract
37,40,"shape=arrow",abstract
38,,"shape=circle",abstract
38,4,"shape=arrow",abstract
39,,"shape=circle",abstract
39,15,"shape=arrow",abstract
4,,"shape=circle",abstract
4,5,"shape=arrow",abstract
40,,"shape=circle",abstract
40,19,"shape=arrow",abstract
41,,"shape=circle",abstract
41,29,"shape=arrow",abstract
42,,"shape=circle",abstract
42,4,"shape=arrow",abstract
43,,"shape=circle",abstract
43,38,"shape=arrow",abstract
43,40,"shape=arrow",abstract
5,,"shape=circle",abstract
5,6,"shape=arrow",abstract
5,T35,"shape=arrow",abstract
5,23,"shape=arrow",abstract
6,,"shape=circle",abstract
6,7,"shape=arrow",abstract
7,,"shape=circle",abstract
7,T8,"shape=arrow",abstract
9,,"shape=circle",abstract
9,42,"shape=arrow",abstract
9,T1,"shape=arrow",abstract
S1,,"shape=circle",abstract
S1,10,"shape=arrow",abstract
S1,2,"shape=arrow",abstract
S24,,"shape=circle",abstract
S24,27,"shape=arrow",abstract
S24,25,"shape=arrow",abstract
S30,,"shape=circle",abstract
S30,31,"shape=arrow",abstract
S30,33,"shape=arrow",abstract
S35,,"shape=circle",abstract
S35,36,"shape=arrow",abstract
S35,43,"shape=arrow",abstract
T1,,"shape=circle",abstract
T24,,"shape=circle",abstract
T30,,"shape=circle",abstract
T35,,"shape=circle",abstract
T8,,"shape=circle",abstract
