From,To,Attributes,Value
LR_0,,"shape=doublecircle",1
LR_0,LR_2,"label='SS(B)',shape=circle",12
LR_0,LR_1,"label='SS(S)',shape=circle",3
LR_1,,"shape=circle",2
LR_1,LR_3,"label='S($end)',shape=circle",2
LR_2,,"shape=circle",2
LR_2,LR_6,"label='SS(b)',shape=circle",11
LR_2,LR_5,"label='SS(a)',shape=circle",4
LR_2,LR_4,"label='S(A)',shape=circle",2
LR_3,,"shape=doublecircle",1
LR_4,,"shape=doublecircle",1
LR_5,,"shape=circle",2
LR_5,LR_7,"label='S(b)',shape=circle",3
LR_5,LR_5,"label='S(a)',shape=circle",5
LR_6,,"shape=circle",2
LR_6,LR_6,"label='S(b)',shape=circle",6
LR_6,LR_5,"label='S(a)',shape=circle",8
LR_7,,"shape=circle",2
LR_7,LR_8,"label='S(b)',shape=circle",9
LR_7,LR_5,"label='S(a)',shape=circle",3
LR_8,,"shape=doublecircle",1
LR_8,LR_6,"label='S(b)',shape=circle",7
LR_8,LR_5,"label='S(a)',shape=circle",5
