# META_DATA
#  global,location,,Azerbaijan
#  global,year,,2019
# END_META_DATA
Id,Pos,Country,Driver,Logo,Team,Wins,Points,Image
2,1,Finland,Valtteri Bottas,BOT,Mercedes,2,87,data/f1_mercedes_bot.png
1,2,Great Britain,Lewis Hamilton,HAM,Mercedes,2,86,data/f1_mercedes_ham.png
3,3,Germany,Sebastian Vettel,VET,Ferrari,0,52,data/f1_ferrari_vet.png
5,4,Netherlands,Max Verstappen,VER,Red Bull,0,51,data/f1_redbull_ver.png
4,5,Monaco,Charles Leclerc,LEC,Ferrari,0,47,data/f1_ferrari_lec.png
15,6,Mexico,Sergio Perez,PER,Racing Point,0,13,data/f1_racing_point_per.png
10,7,France,Pierre Gasly,GAS,Red Bull,0,13,data/f1_redbull_gas.png
11,8,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,13,data/f1_alfa_rai.png
8,9,Great Britain,Lando Norris,NOR,McLaren,0,12,data/f1_maclaren_nor.png
18,10,Denmark,Kevin Magnussen,MAG,Haas,0,8,data/f1_haas_mag.png
7,11,Spain,Carlos Sainz Jnr,SAI,McLaren,0,6,data/f1_maclaren_sai.png
13,12,Australia,Daniel Ricciardo,RIC,Renault,0,6,data/f1_renault_ric.png
14,13,Germany,Nico Hulkenberg,HUL,Renault,0,6,data/f1_renault_hul.png
16,14,Canada,Lance Stroll,STR,Racing Point,0,4,data/f1_racing_point_str.png
6,15,Thailand,Alexander Albon,ALB,Toro Rosso,0,3,data/f1_toro_roso_alb.png
9,16,Russia,Daniil Kvyat,KVY,Toro Rosso,0,1,data/f1_toro_roso_kvy.png
12,17,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,0,data/f1_alfa_gio.png
20,18,Great Britain,George Russell,RUS,Williams,0,0,data/f1_williams_rus.png
19,19,Poland,Robert Kubica,KUB,Williams,0,0,data/f1_williams_kub.png
17,20,France,Romain Grosjean,GRO,Haas,0,0,data/f1_haas_gro.png
