# META_DATA
#  global,location,,Monaco
#  global,year,,2019
# END_META_DATA
Id,Pos,Country,Driver,Logo,Team,Wins,Points,Image
1,1,Great Britain,Lewis Hamilton,HAM,Mercedes,4,137,pics/f1_mercedes_ham.png
2,2,Finland,Valtteri Bottas,BOT,Mercedes,2,120,pics/f1_mercedes_bot.png
3,3,Germany,Sebastian Vettel,VET,Ferrari,0,82,pics/f1_ferrari_vet.png
5,4,Netherlands,Max Verstappen,VER,Red Bull,0,78,pics/f1_redbull_ver.png
4,5,Monaco,Charles Leclerc,LEC,Ferrari,0,57,pics/f1_ferrari_lec.png
10,6,France,Pierre Gasly,GAS,Red Bull,0,32,pics/f1_redbull_gas.png
7,7,Spain,Carlos Sainz Jnr,SAI,McLaren,0,18,pics/f1_maclaren_sai.png
18,8,Denmark,Kevin Magnussen,MAG,Haas,0,14,pics/f1_haas_mag.png
15,9,Mexico,Sergio Perez,PER,Racing Point,0,13,pics/f1_racing_point_per.png
11,10,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,13,pics/f1_alfa_rai.png
8,11,Great Britain,Lando Norris,NOR,McLaren,0,12,pics/f1_maclaren_nor.png
9,12,Russia,Daniil Kvyat,KVY,Toro Rosso,0,9,pics/f1_toro_roso_kvy.png
13,13,Australia,Daniel Ricciardo,RIC,Renault,0,8,pics/f1_renault_ric.png
6,14,Thailand,Alexander Albon,ALB,Toro Rosso,0,7,pics/f1_toro_roso_alb.png
14,15,Germany,Nico Hulkenberg,HUL,Renault,0,6,pics/f1_renault_hul.png
16,16,Canada,Lance Stroll,STR,Racing Point,0,4,pics/f1_racing_point_str.png
17,17,France,Romain Grosjean,GRO,Haas,0,2,pics/f1_haas_gro.png
12,18,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,0,pics/f1_alfa_gio.png
20,19,Great Britain,George Russell,RUS,Williams,0,0,pics/f1_williams_rus.png
19,20,Poland,Robert Kubica,KUB,Williams,0,0,pics/f1_williams_kub.png
