# META_DATA
#  global,location,,Canada
#  global,year,,2019
# END_META_DATA
Pos,Country,Driver,Logo,Team,Wins,Points,Image
1,Great Britain,Lewis Hamilton,HAM,Mercedes,5,162,data/f1_mercedes_ham.png
2,Finland,Valtteri Bottas,BOT,Mercedes,2,133,data/f1_mercedes_bot.png
3,Germany,Sebastian Vettel,VET,Ferrari,0,100,data/f1_ferrari_vet.png
4,Netherlands,Max Verstappen,VER,Red Bull,0,88,data/f1_redbull_ver.png
5,Monaco,Charles Leclerc,LEC,Ferrari,0,72,data/f1_ferrari_lec.png
6,France,Pierre Gasly,GAS,Toro Rosso,0,36,data/f1_redbull_gas.png
7,Spain,Carlos Sainz Jnr,SAI,McLaren,0,18,data/f1_maclaren_sai.png
8,Australia,Daniel Ricciardo,RIC,Renault,0,16,data/f1_renault_ric.png
9,Denmark,Kevin Magnussen,MAG,Haas,0,14,data/f1_haas.png
10,Mexico,Sergio Perez,PER,Racing Point,0,13,data/f1_racing_point.png
11,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,13,data/f1_alfa.png
12,Great Britain,Lando Norris,NOR,McLaren,0,12,data/f1_maclaren_nor.png
13,Germany,Nico Hulkenberg,HUL,Renault,0,12,data/f1_renault_hul.png
14,Russia,Daniil Kvyat,KVY,Toro Rosso,0,10,data/f1_toro_roso.png
15,Thailand,Alexander Albon,ALB,Red Bull,0,7,data/f1_toro_roso.png
16,Canada,Lance Stroll,STR,Racing Point,0,6,data/f1_racing_point.png
17,France,Romain Grosjean,GRO,Haas,0,2,data/f1_haas.png
18,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,0,data/f1_alfa.png
19,Great Britain,George Russell,RUS,Williams,0,0,data/f1_williams.png
20,Poland,Robert Kubica,KUB,Williams,0,0,data/f1_williams.png
