# META_DATA
#  global,location,,Austria
#  global,year,,2019
# END_META_DATA
Pos,Country,Driver,Logo,Team,Wins,Points,Image
1,Great Britain,Lewis Hamilton,HAM,Mercedes,6,197,data/f1_mercedes_ham.png
2,Finland,Valtteri Bottas,BOT,Mercedes,2,166,data/f1_mercedes_bot.png
3,Netherlands,Max Verstappen,VER,Red Bull,1,126,data/f1_redbull_ver.png
4,Germany,Sebastian Vettel,VET,Ferrari,0,123,data/f1_ferrari_vet.png
5,Monaco,Charles Leclerc,LEC,Ferrari,0,105,data/f1_ferrari_lec.png
6,France,Pierre Gasly,GAS,Red Bull,0,43,data/f1_redbull_gas.png
7,Spain,Carlos Sainz Jnr,SAI,McLaren,0,30,data/f1_maclaren_sai.png
8,Great Britain,Lando Norris,NOR,McLaren,0,22,data/f1_maclaren_nor.png
9,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,21,data/f1_alfa_rai.png
10,Australia,Daniel Ricciardo,RIC,Renault,0,16,data/f1_renault_ric.png
11,Germany,Nico Hulkenberg,HUL,Renault,0,16,data/f1_renault_hul.png
12,Denmark,Kevin Magnussen,MAG,Haas,0,14,data/f1_haas_mag.png
13,Mexico,Sergio Perez,PER,Racing Point,0,13,data/f1_racing_point_per.png
14,Russia,Daniil Kvyat,KVY,Toro Rosso,0,10,data/f1_toro_roso_kvy.png
15,Thailand,Alexander Albon,ALB,Toro Rosso,0,7,data/f1_toro_roso_alb.png
16,Canada,Lance Stroll,STR,Racing Point,0,6,data/f1_racing_point_str.png
17,France,Romain Grosjean,GRO,Haas,0,2,data/f1_haas_gro.png
18,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,1,data/f1_alfa_gio.png
19,Great Britain,George Russell,RUS,Williams,0,0,data/f1_williams_rus.png
20,Poland,Robert Kubica,KUB,Williams,0,0,data/f1_williams_kub.png
