# META_DATA
#  global,location,,Belgium
#  global,year,,2019
# END_META_DATA
Id,Pos,Country,Driver,Logo,Team,Wins,Points,Image
1,1,Great Britain,Lewis Hamilton,HAM,Mercedes,8,268,pics/f1_mercedes_ham.png
2,2,Finland,Valtteri Bottas,BOT,Mercedes,2,203,pics/f1_mercedes_bot.png
5,3,Netherlands,Max Verstappen,VER,Red Bull,2,181,pics/f1_redbull_ver.png
3,4,Germany,Sebastian Vettel,VET,Ferrari,0,169,pics/f1_ferrari_vet.png
4,5,Monaco,Charles Leclerc,LEC,Ferrari,1,157,pics/f1_ferrari_lec.png
10,6,France,Pierre Gasly,GAS,Toro Rosso,0,65,pics/f1_toro_roso_gas.png
7,7,Spain,Carlos Sainz Jnr,SAI,McLaren,0,58,pics/f1_maclaren_sai.png
9,8,Russia,Daniil Kvyat,KVY,Toro Rosso,0,33,pics/f1_toro_roso_kvy.png
11,9,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,31,pics/f1_alfa_rai.png
6,10,Thailand,Alexander Albon,ALB,Red Bull,0,26,pics/f1_redbull_alb.png
8,11,Great Britain,Lando Norris,NOR,McLaren,0,24,pics/f1_maclaren_nor.png
13,12,Australia,Daniel Ricciardo,RIC,Renault,0,22,pics/f1_renault_ric.png
15,13,Mexico,Sergio Perez,PER,Racing Point,0,21,pics/f1_racing_point_per.png
14,14,Germany,Nico Hulkenberg,HUL,Renault,0,21,pics/f1_renault_hul.png
16,15,Canada,Lance Stroll,STR,Racing Point,0,19,pics/f1_racing_point_str.png
18,16,Denmark,Kevin Magnussen,MAG,Haas,0,18,pics/f1_haas_mag.png
17,17,France,Romain Grosjean,GRO,Haas,0,8,pics/f1_haas_gro.png
12,18,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,1,pics/f1_alfa_gio.png
19,19,Poland,Robert Kubica,KUB,Williams,0,1,pics/f1_williams_kub.png
20,20,Great Britain,George Russell,RUS,Williams,0,0,pics/f1_williams_rus.png
