# META_DATA
#  global,location,,Italy
#  global,year,,2019
# END_META_DATA
Id,Pos,Country,Driver,Logo,Team,Wins,Points,Image
1,1,Great Britain,Lewis Hamilton,HAM,Mercedes,8,284,data/f1_mercedes_ham.png
2,2,Finland,Valtteri Bottas,BOT,Mercedes,2,221,data/f1_mercedes_bot.png
5,3,Netherlands,Max Verstappen,VER,Red Bull,2,185,data/f1_redbull_ver.png
4,4,Monaco,Charles Leclerc,LEC,Ferrari,2,182,data/f1_ferrari_lec.png
3,5,Germany,Sebastian Vettel,VET,Ferrari,0,169,data/f1_ferrari_vet.png
10,6,France,Pierre Gasly,GAS,Toro Rosso,0,65,data/f1_toro_roso_gas.png
7,7,Spain,Carlos Sainz Jnr,SAI,McLaren,0,58,data/f1_maclaren_sai.png
13,8,Australia,Daniel Ricciardo,RIC,Renault,0,34,data/f1_renault_ric.png
6,9,Thailand,Alexander Albon,ALB,Red Bull,0,34,data/f1_redbull_alb.png
9,10,Russia,Daniil Kvyat,KVY,Toro Rosso,0,33,data/f1_toro_roso_kvy.png
14,11,Germany,Nico Hulkenberg,HUL,Renault,0,31,data/f1_renault_hul.png
11,12,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,31,data/f1_alfa_rai.png
15,13,Mexico,Sergio Perez,PER,Racing Point,0,27,data/f1_racing_point_per.png
8,14,Great Britain,Lando Norris,NOR,McLaren,0,25,data/f1_maclaren_nor.png
16,15,Canada,Lance Stroll,STR,Racing Point,0,19,data/f1_racing_point_str.png
18,16,Denmark,Kevin Magnussen,MAG,Haas,0,18,data/f1_haas_mag.png
17,17,France,Romain Grosjean,GRO,Haas,0,8,data/f1_haas_gro.png
12,18,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,3,data/f1_alfa_gio.png
19,19,Poland,Robert Kubica,KUB,Williams,0,1,data/f1_williams_kub.png
20,20,Great Britain,George Russell,RUS,Williams,0,0,data/f1_williams_rus.png
