# META_DATA
#  global,location,,Singapore
#  global,year,,2019
# END_META_DATA
Pos,Country,Driver,Logo,Team,Wins,Points,Image
1,Great Britain,Lewis Hamilton,HAM,Mercedes,8,296,data/f1_mercedes_ham.png
2,Finland,Valtteri Bottas,BOT,Mercedes,2,231,data/f1_mercedes_bot.png
3,Netherlands,Max Verstappen,VER,Red Bull,2,200,data/f1_redbull_ver.png
4,Monaco,Charles Leclerc,LEC,Ferrari,2,200,data/f1_ferrari_lec.png
5,Germany,Sebastian Vettel,VET,Ferrari,1,194,data/f1_ferrari_vet.png
6,France,Pierre Gasly,GAS,Toro Rosso,0,69,data/f1_toro_roso_gas.png
7,Spain,Carlos Sainz Jnr,SAI,McLaren,0,58,data/f1_maclaren_sai.png
8,Thailand,Alexander Albon,ALB,Red Bull,0,42,data/f1_redbull_alb.png
9,Australia,Daniel Ricciardo,RIC,Renault,0,34,data/f1_renault_ric.png
10,Russia,Daniil Kvyat,KVY,Toro Rosso,0,33,data/f1_toro_roso_kvy.png
11,Germany,Nico Hulkenberg,HUL,Renault,0,33,data/f1_renault_hul.png
12,Great Britain,Lando Norris,NOR,McLaren,0,31,data/f1_maclaren_nor.png
13,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,31,data/f1_alfa_rai.png
14,Mexico,Sergio Perez,PER,Racing Point,0,27,data/f1_racing_point_per.png
15,Canada,Lance Stroll,STR,Racing Point,0,19,data/f1_racing_point_str.png
16,Denmark,Kevin Magnussen,MAG,Haas,0,18,data/f1_haas_mag.png
17,France,Romain Grosjean,GRO,Haas,0,8,data/f1_haas_gro.png
18,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,4,data/f1_alfa_gio.png
19,Poland,Robert Kubica,KUB,Williams,0,1,data/f1_williams_kub.png
20,Great Britain,George Russell,RUS,Williams,0,0,data/f1_williams_rus.png
