# META_DATA
#  global,location,,Russia
#  global,year,,2019
# END_META_DATA
Id,Pos,Country,Driver,Logo,Team,Wins,Points,Image
1,1,Great Britain,Lewis Hamilton,HAM,Mercedes,9,322,pics/f1_mercedes_ham.png
2,2,Finland,Valtteri Bottas,BOT,Mercedes,2,249,pics/f1_mercedes_bot.png
4,3,Monaco,Charles Leclerc,LEC,Ferrari,2,215,pics/f1_ferrari_lec.png
5,4,Netherlands,Max Verstappen,VER,Red Bull,2,212,pics/f1_redbull_ver.png
3,5,Germany,Sebastian Vettel,VET,Ferrari,1,194,pics/f1_ferrari_vet.png
10,6,France,Pierre Gasly,GAS,Toro Rosso,0,69,pics/f1_toro_roso_gas.png
7,7,Spain,Carlos Sainz Jnr,SAI,McLaren,0,66,pics/f1_maclaren_sai.png
6,8,Thailand,Alexander Albon,ALB,Red Bull,0,52,pics/f1_redbull_alb.png
8,9,Great Britain,Lando Norris,NOR,McLaren,0,35,pics/f1_maclaren_nor.png
13,10,Australia,Daniel Ricciardo,RIC,Renault,0,34,pics/f1_renault_ric.png
14,11,Germany,Nico Hulkenberg,HUL,Renault,0,34,pics/f1_renault_hul.png
9,12,Russia,Daniil Kvyat,KVY,Toro Rosso,0,33,pics/f1_toro_roso_kvy.png
15,13,Mexico,Sergio Perez,PER,Racing Point,0,33,pics/f1_racing_point_per.png
11,14,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,31,pics/f1_alfa_rai.png
18,15,Denmark,Kevin Magnussen,MAG,Haas,0,20,pics/f1_haas_mag.png
16,16,Canada,Lance Stroll,STR,Racing Point,0,19,pics/f1_racing_point_str.png
17,17,France,Romain Grosjean,GRO,Haas,0,8,pics/f1_haas_gro.png
12,18,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,4,pics/f1_alfa_gio.png
19,19,Poland,Robert Kubica,KUB,Williams,0,1,pics/f1_williams_kub.png
20,20,Great Britain,George Russell,RUS,Williams,0,0,pics/f1_williams_rus.png
