# META_DATA
#  global,location,,Brazil
#  global,year,,2019
# END_META_DATA
Id,Pos,Country,Driver,Logo,Team,Wins,Points,Image
1,1,Great Britain,Lewis Hamilton,HAM,Mercedes,10,387,pics/f1_mercedes_ham.png
2,2,Finland,Valtteri Bottas,BOT,Mercedes,4,314,pics/f1_mercedes_bot.png
5,3,Netherlands,Max Verstappen,VER,Red Bull,2,260,pics/f1_redbull_ver.png
4,4,Monaco,Charles Leclerc,LEC,Ferrari,2,249,pics/f1_ferrari_lec.png
3,5,Germany,Sebastian Vettel,VET,Ferrari,1,230,pics/f1_ferrari_vet.png
10,6,France,Pierre Gasly,GAS,Toro Rosso,0,95,pics/f1_toro_roso_gas.png
7,7,Spain,Carlos Sainz Jnr,SAI,McLaren,0,95,pics/f1_maclaren_sai.png
6,8,Thailand,Alexander Albon,ALB,Red Bull,0,84,pics/f1_redbull_alb.png
13,9,Australia,Daniel Ricciardo,RIC,Renault,0,54,pics/f1_renault_ric.png
15,10,Mexico,Sergio Perez,PER,Racing Point,0,46,pics/f1_racing_point_per.png
8,11,Great Britain,Lando Norris,NOR,McLaren,0,45,pics/f1_maclaren_nor.png
11,12,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,43,pics/f1_alfa_rai.png
14,13,Germany,Nico Hulkenberg,HUL,Renault,0,37,pics/f1_renault_hul.png
9,14,Russia,Daniil Kvyat,KVY,Toro Rosso,0,35,pics/f1_toro_roso_kvy.png
16,15,Canada,Lance Stroll,STR,Racing Point,0,21,pics/f1_racing_point_str.png
18,16,Denmark,Kevin Magnussen,MAG,Haas,0,20,pics/f1_haas_mag.png
12,17,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,14,pics/f1_alfa_gio.png
17,18,France,Romain Grosjean,GRO,Haas,0,8,pics/f1_haas_gro.png
19,19,Poland,Robert Kubica,KUB,Williams,0,1,pics/f1_williams_kub.png
20,20,Great Britain,George Russell,RUS,Williams,0,0,pics/f1_williams_rus.png
