# Path,Name,Value
flare/analytics/cluster/AgglomerativeCluster,AgglomerativeCluster,3938.000000
flare/analytics/cluster/CommunityStructure,CommunityStructure,3812.000000
flare/analytics/cluster/HierarchicalCluster,HierarchicalCluster,6714.000000
flare/analytics/cluster/MergeEdge,MergeEdge,743.000000
flare/analytics/graph/BetweennessCentrality,BetweennessCentrality,3534.000000
flare/analytics/graph/LinkDistance,LinkDistance,5731.000000
flare/analytics/graph/MaxFlowMinCut,MaxFlowMinCut,7840.000000
flare/analytics/graph/ShortestPaths,ShortestPaths,5914.000000
flare/analytics/graph/SpanningTree,SpanningTree,3416.000000
flare/analytics/optimization/AspectRatioBanker,AspectRatioBanker,7074.000000
flare/animate/Easing,Easing,17010.000000
flare/animate/FunctionSequence,FunctionSequence,5842.000000
flare/animate/interpolate/ArrayInterpolator,ArrayInterpolator,1983.000000
flare/animate/interpolate/ColorInterpolator,ColorInterpolator,2047.000000
flare/animate/interpolate/DateInterpolator,DateInterpolator,1375.000000
flare/animate/interpolate/Interpolator,Interpolator,8746.000000
flare/animate/interpolate/MatrixInterpolator,MatrixInterpolator,2202.000000
flare/animate/interpolate/NumberInterpolator,NumberInterpolator,1382.000000
flare/animate/interpolate/ObjectInterpolator,ObjectInterpolator,1629.000000
flare/animate/interpolate/PointInterpolator,PointInterpolator,1675.000000
flare/animate/interpolate/RectangleInterpolator,RectangleInterpolator,2042.000000
flare/animate/ISchedulable,ISchedulable,1041.000000
flare/animate/Parallel,Parallel,5176.000000
flare/animate/Pause,Pause,449.000000
flare/animate/Scheduler,Scheduler,5593.000000
flare/animate/Sequence,Sequence,5534.000000
flare/animate/Transition,Transition,9201.000000
flare/animate/Transitioner,Transitioner,19975.000000
flare/animate/TransitionEvent,TransitionEvent,1116.000000
flare/animate/Tween,Tween,6006.000000
flare/data/converters/Converters,Converters,721.000000
flare/data/converters/DelimitedTextConverter,DelimitedTextConverter,4294.000000
flare/data/converters/GraphMLConverter,GraphMLConverter,9800.000000
flare/data/converters/IDataConverter,IDataConverter,1314.000000
flare/data/converters/JSONConverter,JSONConverter,2220.000000
flare/data/DataField,DataField,1759.000000
flare/data/DataSchema,DataSchema,2165.000000
flare/data/DataSet,DataSet,586.000000
