date,city,temperature
2011-10-01,New York,63.4
2011-10-01,San Francisco,62.7
2011-10-01,Austin,72.2
2011-10-02,New York,58
2011-10-02,San Francisco,59.9
2011-10-02,Austin,67.7
2011-10-03,New York,53.3
2011-10-03,San Francisco,59.1
2011-10-03,Austin,69.4
2011-10-04,New York,55.7
2011-10-04,San Francisco,58.8
2011-10-04,Austin,68
2011-10-05,New York,64.2
2011-10-05,San Francisco,58.7
2011-10-05,Austin,72.4
2011-10-06,New York,58.8
2011-10-06,San Francisco,57
2011-10-06,Austin,77
2011-10-07,New York,57.9
2011-10-07,San Francisco,56.7
2011-10-07,Austin,82.3
2011-10-08,New York,61.8
2011-10-08,San Francisco,56.8
2011-10-08,Austin,78.9
2011-10-09,New York,69.3
2011-10-09,San Francisco,56.7
2011-10-09,Austin,68.8
2011-10-10,New York,71.2
2011-10-10,San Francisco,60.1
2011-10-10,Austin,68.7
2011-10-11,New York,68.7
2011-10-11,San Francisco,61.1
2011-10-11,Austin,70.3
2011-10-12,New York,61.8
2011-10-12,San Francisco,61.5
2011-10-12,Austin,75.3
2011-10-13,New York,63
2011-10-13,San Francisco,64.3
2011-10-13,Austin,76.6
2011-10-14,New York,66.9
2011-10-14,San Francisco,67.1
2011-10-14,Austin,66.6
2011-10-15,New York,61.7
2011-10-15,San Francisco,64.6
2011-10-15,Austin,68
2011-10-16,New York,61.8
2011-10-16,San Francisco,61.6
2011-10-16,Austin,70.6
2011-10-17,New York,62.8
2011-10-17,San Francisco,61.1
2011-10-17,Austin,71.1
2011-10-18,New York,60.8
2011-10-18,San Francisco,59.2
2011-10-18,Austin,70
2011-10-19,New York,62.1
2011-10-19,San Francisco,58.9
2011-10-19,Austin,61.6
2011-10-20,New York,65.1
2011-10-20,San Francisco,57.2
2011-10-20,Austin,57.4
2011-10-21,New York,55.6
2011-10-21,San Francisco,56.4
2011-10-21,Austin,64.3
2011-10-22,New York,54.4
2011-10-22,San Francisco,60.7
2011-10-22,Austin,72.4
2011-10-23,New York,54.4
2011-10-23,San Francisco,65.1
2011-10-23,Austin,72.4
2011-10-24,New York,54.8
2011-10-24,San Francisco,60.9
2011-10-24,Austin,72.5
2011-10-25,New York,57.9
2011-10-25,San Francisco,56.1
2011-10-25,Austin,72.7
2011-10-26,New York,54.6
2011-10-26,San Francisco,54.6
2011-10-26,Austin,73.4
2011-10-27,New York,54.4
2011-10-27,San Francisco,56.1
2011-10-27,Austin,70.7
2011-10-28,New York,42.5
2011-10-28,San Francisco,58.1
2011-10-28,Austin,56.8
2011-10-29,New York,40.9
2011-10-29,San Francisco,57.5
2011-10-29,Austin,51
2011-10-30,New York,38.6
2011-10-30,San Francisco,57.7
2011-10-30,Austin,54.9
2011-10-31,New York,44.2
2011-10-31,San Francisco,55.1
2011-10-31,Austin,58.8
2011-11-01,New York,49.6
2011-11-01,San Francisco,57.9
2011-11-01,Austin,62.6
2011-11-02,New York,47.2
2011-11-02,San Francisco,64.6
2011-11-02,Austin,71
