state,code,2020/12/17,2020/12/16,2020/12/15,2020/12/14,2020/12/13,2020/12/12,2020/12/11
Alabama,AL,4695,4107,3638,2264,2790,4066,3853
Alaska,AK,383,611,282,429,641,520,627
Arizona,AZ,7184,4209,6662,11813,2990,7506,8103
Arkansas,AR,3039,2306,2141,1355,1450,2628,2770
California,CA,45058,60941,34216,30200,35807,26686,37124
Colorado,CO,3594,2934,3913,1966,2315,3793,4655
Connecticut,CT,2321,2319,1470,7231,0,0,3782
Delaware,DE,839,787,685,997,584,1058,782
District of Columbia,DC,228,263,301,164,231,286,259
Florida,FL,13148,11541,9411,8452,8958,10577,11699
Georgia,GA,7560,6598,7331,3577,4607,6258,5913
Hawaii,HI,136,104,52,187,77,196,128
Idaho,ID,1390,1548,1607,1436,540,769,1582
Illinois,IL,8935,7033,7401,7448,7084,8660,9532
Indiana,IN,6340,6221,4271,4967,5907,7407,7206
Iowa,IA,1426,2531,1351,653,1240,1397,2585
Kansas,KS,286,4348,446,4449,50,0,4860
Kentucky,KY,2953,2920,2619,2064,2449,3257,3786
Louisiana,LA,3776,3269,2633,1030,4422,0,2862
Maine,ME,590,551,411,426,303,414,345
Maryland,MD,2190,2363,2479,2240,2803,3380,2619
Massachusetts,MA,5135,5952,3929,3653,4853,5289,5655
Michigan,MI,4614,4604,5447,7560,238,4557,5631
Minnesota,MN,2759,2248,2323,3018,3425,4430,3750
Mississippi,MS,2261,2343,2205,1648,1500,2665,2327
Missouri,MO,4004,3141,3359,4264,2623,5476,2065
Montana,MT,781,604,804,53,644,728,977
Nebraska,NE,1199,1334,1608,576,1252,755,1218
Nevada,NV,2598,2352,2304,2303,2975,2605,2513
New Hampshire,NH,831,888,670,919,712,784,1187
New Jersey,NJ,4255,5701,3966,4798,4154,6240,3650
New Mexico,NM,1688,1800,1258,1499,1442,1793,1834
New York,NY,10498,9378,9736,8984,10027,11039,10561
North Carolina,NC,5111,6325,5582,5066,6330,5334,7040
North Dakota,ND,377,291,328,196,281,376,507
Ohio,OH,11412,5409,8755,7875,9266,11252,10359
Oklahoma,OK,2975,3238,2224,2099,4332,3983,3900
Oregon,OR,1312,1532,1051,1189,1014,1405,1596
Pennsylvania,PA,10032,10190,9587,9516,10005,10057,12669
Rhode Island,RI,1081,972,1166,3253,0,0,1571
South Carolina,SC,2655,2799,2544,2570,3408,3572,3540
South Dakota,SD,593,905,345,316,631,735,945
Tennessee,TN,8877,10894,7978,9769,10461,6292,7052
Texas,TX,17226,21964,19502,13810,6729,11375,58256
Utah,UT,3203,2928,1915,1968,2083,3675,2200
Vermont,VT,140,86,66,104,127,85,128
Virginia,VA,3853,3931,3160,3240,3294,4177,3395
Washington,WA,5318,1225,1743,2957,1986,2915,3305
West Virginia,WV,1636,1141,1314,1177,1066,1514,942
Wisconsin,WI,4281,2822,4055,2329,2965,4624,4478
Wyoming,WY,283,246,289,415,453,122,562
Guam,,15,19,12,31,16,11,27
Northern Mariana Islands,,0,0,0,0,0,0,0
Puerto Rico,,1065,267,434,554,708,721,1544
Virgin Islands,,50,0,21,16,0,0,58
