Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Los Angeles, CA, USA","1/1/2019",39.8,63,49.7,17.1,30.73,"null",12.8,18.3,60.5,37.8,0,0,"null",9.9,0,1020.9,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Clear"
"Los Angeles, CA, USA","1/2/2019",44.1,61.1,51.7,24.8,36.7,"null",10.3,"null",70,48,0,0,"null",9.9,0,1022.9,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Clear"
"Los Angeles, CA, USA","1/3/2019",44.1,65.9,54.2,33.9,52.09,"null",10.3,"null",101.74,43.6,0,0,"null",9.9,0,1019.6,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Clear"
"Los Angeles, CA, USA","1/4/2019",48.8,63,55,39.1,57.09,"null",10.3,"null",66.96,"null",0,0,"null",9.9,4.2,1015.3,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Clear"
"Los Angeles, CA, USA","1/5/2019",47,57.8,52.8,47,81.57,"null",11.4,17.2,101.86,"null",0.54,16.67,"null",9,58.1,1015.5,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Rain, Partially cloudy"
"Los Angeles, CA, USA","1/6/2019",51.2,60.2,55,47.4,76.5,"null",11.4,"null",132.08,"null",0.08,16.67,"null",8.4,59.8,1021.8,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Rain, Partially cloudy"
"Los Angeles, CA, USA","1/7/2019",50,60.2,54.6,50,84.72,"null",8.3,"null",32,"null",0.01,8.33,"null",8.8,31.8,1022.2,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Rain, Partially cloudy"
"Los Angeles, CA, USA","1/8/2019",47.9,71.1,58.3,48.4,73.1,"null",8.1,"null",49.58,"null",0,0,"null",9.1,6,1019.7,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Clear"
"Los Angeles, CA, USA","1/9/2019",50,64.1,56.9,50.7,80.43,"null",13.9,"null",85.83,"null",0,0,"null",8.1,13.7,1019.9,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Clear"
"Los Angeles, CA, USA","1/10/2019",51.9,62.1,56.3,51,82.73,"null",11.4,"null",104.38,"null",0,0,"null",8,65.1,1019.6,"null",34.0536,-118.245,"Los Angeles, CA, United States","Los Angeles, CA, United States","null","Partially cloudy"
