#	date	New York
20111001	63.4
20111002	58.0
20111003	53.3
20111004	55.7
20111005	64.2
20111006	58.8
20111007	57.9
20111008	61.8
20111009	69.3
20111010	71.2
20111011	68.7
20111012	61.8
20111013	63.0
20111014	66.9
20111015	61.7
20111016	61.8
20111017	62.8
20111018	60.8
20111019	62.1
20111020	65.1
20111021	55.6
20111022	54.4
20111023	54.4
20111024	54.8
20111025	57.9
20111026	54.6
20111027	54.4
20111028	42.5
20111029	40.9
20111030	38.6
20111031	44.2
20111101	49.6
20111102	47.2
20111103	50.1
20111104	50.1
20111105	43.5
20111106	43.8
20111107	48.9
20111108	55.5
20111109	53.7
20111110	57.7
20111111	48.5
20111112	46.8
20111113	51.1
20111114	56.8
20111115	59.7
20111116	56.5
20111117	49.6
20111118	41.5
20111119	44.3
20111120	54.0
20111121	54.1
20111122	49.4
20111123	50.0
20111124	44.0
20111125	50.3
20111126	52.1
20111127	49.6
20111128	57.2
20111129	59.1
20111130	50.6
20111201	44.3
20111202	43.9
20111203	42.1
20111204	43.9
20111205	50.2
20111206	54.2
20111207	54.6
20111208	43.4
20111209	42.2
20111210	45.0
20111211	33.8
20111212	36.8
20111213	38.6
20111214	41.9
20111215	49.6
20111216	50.2
20111217	40.6
20111218	29.1
20111219	33.7
20111220	45.8
20111221	47.4
20111222	54.4
20111223	47.8
20111224	34.9
20111225	35.9
20111226	43.6
20111227	42.9
20111228	46.2
20111229	30.8
20111230	40.8
20111231	49.8
20120101	46.3
20120102	43.2
20120103	30.3
20120104	19.2
20120105	32.1
20120106	41.2
20120107	47.0
20120108	46.0
20120109	34.7
20120110	39.4
20120111	40.4
20120112	45.4
20120113	40.7
20120114	30.4
20120115	23.9
20120116	22.6
20120117	39.8
20120118	43.2
20120119	26.3
20120120	32.8
20120121	27.4
20120122	25.0
20120123	39.4
20120124	48.7
20120125	43.0
20120126	37.1
20120127	48.2
20120128	43.7
20120129	40.1
20120130	38.0
20120131	43.5
20120201	50.4
20120202	45.8
20120203	37.5
20120204	40.8
20120205	36.5
20120206	39.1
20120207	43.2
20120208	36.5
20120209	36.5
20120210	38.3
20120211	36.9
20120212	29.7
20120213	33.1
20120214	39.6
20120215	42.3
20120216	39.7
20120217	46.0
20120218	41.2
20120219	39.8
20120220	38.1
20120221	37.1
20120222	45.5
20120223	50.6
20120224	42.7
20120225	42.6
20120226	36.9
20120227	40.9
20120228	45.9
20120229	40.7
20120301	41.3
20120302	36.8
20120303	47.6
20120304	44.2
20120305	38.5
20120306	32.9
20120307	43.3
20120308	51.2
20120309	47.8
20120310	37.2
20120311	42.9
20120312	48.8
20120313	52.6
20120314	60.5
20120315	47.2
20120316	44.7
20120317	48.2
20120318	48.2
20120319	53.1
20120320	57.8
20120321	57.5
20120322	57.3
