Name,Value
ojnzksaw,-4.25987
wjqmhgvw,-6.80124
zbvacbzd,-6.54069
xjqnstfi,-6.85641
cuimnkkj,-8.99652
uaydhtai,-5.37453
wxizahcy,-9.19844
rvnlovtq,-5.77306
pdfcorok,-3.71826
sonbjpjg,-6.77918
mtfnajnt,-11.3808
gcguxcnp,-13.8951
futvljff,-16.3734
xvgjkrpx,-20.8802
kwmnfzim,-17.2492
dpibrxsy,-20.5538
rludvbiu,-18.0371
wrdhisgv,-14.6767
qsiytqmw,-12.8381
huzysrxl,-14.7496
dtoauzur,-12.344
qyaasgvj,-16.9604
afhvyttf,-15.2152
ptejmdvr,-17.0872
wlrqkojc,-17.1381
oldgrart,-20.3362
gaqevkln,-16.4934
fpwtstlq,-17.8975
fejrsswi,-17.1718
ezrxbitj,-19.0342
llpivbvc,-20.2922
qswlnjds,-20.9839
pmmihisn,-19.4289
jjmkuhwf,-20.9013
tlnqmltf,-19.4419
frsscvnr,-20.4141
kzbrhugs,-19.9038
dscxayev,-22.3176
mulyfgfk,-22.7521
zxebvrtf,-27.7365
qwyzqerw,-30.3976
wwvywcti,-28.2249
wfjdnopn,-24.7195
otojljod,-24.7266
gmfyqwuo,-26.4735
sqprsizq,-26.5463
pktfzksp,-24.6258
dgyqsmwy,-27.8959
abysxtgs,-27.1318
lxjfikxx,-29.6351
xscwcwnh,-34.2519
dlaxzwxz,-37.0539
xvrwqzqb,-38.0827
xbihofel,-34.5243
xjjzhwjk,-37.8569
hjjifghe,-35.39
cacsbtwa,-33.2672
ughkmovl,-33.4608
zengcwtl,-37.4854
fctmjaqn,-38.2957
cshgnfgk,-38.2217
mquaeslf,-35.5797
yalbwgmd,-32.819
jgpuihjn,-31.1287
cqtpwbzk,-27.8541
rwkxoxcm,-24.2762
yqpuwcah,-20.3385
krbuzkjb,-23.2415
desbgulz,-27.9608
qxxgubsu,-23.3278
rkroorxa,-21.3406
izujlgmq,-21.243
kftqbgsr,-25.1994
dpzaqtuk,-27.8826
dnarexrp,-29.6733
yoymuncg,-26.4809
swzvcrmi,-30.6583
glkyeekk,-31.0967
ukbykvpi,-28.1539
joufbzlv,-25.131
xkqbbejj,-20.5309
rtkxauhu,-18.4419
hlurgkbr,-15.3366
aywdxhau,-19.488
usxvwhhp,-19.215
croenyau,-14.7741
jvnrhpij,-15.4611
pemmnoih,-13.1297
gffeomtt,-14.7045
fhxshypq,-16.2136
vehcvpnk,-19.763
vzwjngsv,-22.429
oxzelsxq,-21.5028
bvljvcbq,-19.6327
glucahmy,-23.5752
iljxtbsh,-21.9793
bromllfo,-24.5209
isxdubvc,-19.5813
mpeoytmg,-17.1497
evdzxvja,-19.2008
oxozitor,-24.1119
nnwjosma,-20.89
hspildor,-15.9538
zurypcyg,-18.9587
zmfjitcx,-21.8635
hzhxttyc,-20.9945
npkzszst,-23.7118
tjrknrqm,-25.7734
gyyorana,-25.267
buyupyxd,-24.1288
pjehiwbd,-20.3936
iuqvmgks,-24.8681
eiiykvam,-25.2983
syihyhmn,-25.2478
rqxbnyfv,-26.2452
uvsgdcak,-21.6136
kkkxikla,-26.054
ltjjdwzw,-30.6069
mwxbueyq,-33.4553
brxhtztg,-34.1503
mddunowy,-38.2512
jfkodjks,-41.6049
fktbours,-38.0864
lqzessme,-33.3203
vpakfwlp,-33.2803
dvdheozl,-31.4014
yuooofgb,-29.002
yhiszuww,-24.1866
kwjpuugx,-24.5017
pkevafia,-20.0544
cwqsdxud,-18.602
gcviwtei,-13.7177
pnalhgjy,-18.0775
spvuxduz,-13.5316
zlrfklis,-15.243
