Name,Value
0,25.3654
1,51.5148
2,7.21303
3,70.0012
4,58.1827
5,45.1565
6,93.4802
7,98.2467
8,11.936
9,41.943
10,32.6478
11,8.01671
12,60.7399
13,74.3964
14,6.25452
15,37.4986
16,38.148
17,41.3635
18,44.0658
19,2.55241
20,30.7217
21,32.8058
22,40.9256
23,6.59065
24,89.7772
25,4.5122
26,7.82775
27,87.4242
28,87.5742
29,76.3367
30,90.8593
31,14.8368
32,89.7336
33,24.3068
34,87.6428
35,85.2496
36,80.2229
37,59.184
38,61.8657
39,92.2581
40,22.2673
41,17.6354
42,29.3239
43,66.6919
44,92.2807
45,80.5907
46,93.1055
47,1.85728
48,5.5711
49,61.9731
50,76.007
51,57.5879
52,22.2242
53,91.3743
54,33.3754
55,32.1744
56,2.8713
57,68.1006
58,9.99326
59,14.1152
60,46.8401
61,7.36013
62,12.8139
63,71.9785
64,72.0567
65,79.2861
66,47.7825
67,10.623
68,66.1694
69,20.9262
70,35.9436
71,38.5598
72,92.0902
73,73.8523
74,90.4347
75,77.257
76,73.5666
77,41.1038
78,7.23413
79,85.1873
80,84.9203
81,39.5746
82,19.1982
83,6.625
84,61.1693
85,92.5398
86,97.1739
87,38.1575
88,10.1958
89,87.6483
90,72.6592
91,39.6056
92,23.9393
93,57.2877
94,83.7489
95,52.9084
96,72.7442
97,77.2044
98,6.04969
99,91.587
100,39.9699
101,78.0884
102,57.567
103,46.6785
104,9.61625
105,76.9407
106,41.2765
107,24.1007
108,24.4507
109,67.9856
110,65.8615
111,7.0371
112,76.5956
113,42.7715
114,10.1403
115,76.7014
116,26.6345
117,29.9255
118,72.4543
119,12.0635
120,48.4524
121,37.9713
122,9.17978
123,26.4826
124,33.8959
125,13.0402
126,55.1001
127,21.8393
128,6.94486
129,74.7402
130,21.0957
131,75.5695
132,29.6278
133,72.2231
134,50.3504
135,58.3089
136,70.216
137,33.6711
138,22.071
139,93.3456
140,81.5565
141,29.7326
142,42.4481
143,96.4273
144,83.2507
145,82.7726
146,20.2026
147,43.3312
148,53.1116
149,60.0658
150,40.1683
151,39.4751
152,47.4433
153,33.4835
154,33.7218
155,31.1048
156,73.3662
157,78.6457
158,78.6063
159,89.9264
160,84.4198
161,84.9085
162,26.1581
163,67.1543
164,37.4044
165,65.6986
166,35.8043
167,20.8336
168,2.00305
169,5.10014
170,32.5493
171,27.9514
172,81.4443
173,90.0472
174,45.4997
175,72.2386
176,97.1465
177,11.9514
178,47.2718
179,0.158701
180,54.0496
181,30.3392
182,5.54783
183,61.5059
184,17.4772
185,69.1706
186,49.5323
187,26.1097
188,37.6824
189,12.3438
190,23.8337
191,85.8944
192,83.6881
193,43.2807
194,59.7092
195,85.293
196,5.0203
197,59.8996
198,63.523
199,21.765
200,37.1776
201,39.4815
202,77.8045
203,81.1487
204,68.087
205,67.3313
206,81.2672
207,67.0704
208,90.9556
209,77.0704
