Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"San Francisco, CA, USA","1/1/2019",38,54,46.5,28.4,53.18,"null",11.4,"null",100.42,34.4,0,0,"null",9.9,31.5,1023.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/2/2019",39.8,54,46.4,33.2,61.2,"null",5.8,"null",75,35.7,0,0,"null",9.9,16.9,1024,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","1/3/2019",41,53.1,46.5,35.9,67.2,"null",8.1,"null",72.5,37.9,0,0,"null",9.8,71.2,1020,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/4/2019",44.1,63,51.7,40.1,65.77,"null",16.1,"null",99.58,42.6,0.04,8.33,"null",9.2,59.1,1011.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/5/2019",47,56,51.5,45.3,79.41,"null",33.3,47.8,156.67,42.7,0.14,16.67,"null",9.3,49.8,1009.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/6/2019",50,62.1,57.3,49.5,75.56,"null",32.2,43.8,152.92,42,0.15,12.5,"null",6.6,61.7,1012.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/7/2019",52.1,64.1,54.8,49.1,81.33,"null",8.1,"null",83.33,"null",0,0,"null",9.9,66,1019.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/8/2019",53.1,62.1,58.1,51.5,78.72,"null",24.2,"null",118.75,"null",0,0,"null",9.9,62.5,1014.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/9/2019",50,61.1,58,49.9,75.1,"null",16.1,"null",140.87,"null",0.02,12.5,"null",9,54.1,1019.9,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/10/2019",50,65.9,54.3,47.3,78.1,"null",5.8,"null",77.83,49.4,0,0,"null",6.9,44.1,1017.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/11/2019",52.1,60.2,56.5,48.1,73.84,"null",11.4,"null",97.92,"null",0.17,25,"null",9.7,64.8,1012.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/12/2019",52.1,62.1,57.5,44.9,62.96,"null",9.2,"null",86.67,"null",0,0,"null",9.9,26.2,1015.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/13/2019",47.9,57.8,53.9,44.4,70.3,"null",6.9,"null",62.92,48.4,0,0,"null",9.9,70,1013.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/14/2019",47.9,56.9,52.2,43.4,72.21,"null",16.1,18.3,117.08,42,0.05,16.67,"null",9.9,61.3,1010.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/15/2019",50,55.1,52.9,49.1,87.05,"null",17.2,19.7,125.83,44.6,0.57,62.5,"null",7.9,64.7,1009.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/16/2019",54,63,58.5,50,73.58,"null",39.1,56.4,177.92,"null",1.11,37.5,"null",7.8,64.8,1009.8,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/17/2019",56,62.1,58.1,48.7,70.86,"null",20.8,29.9,167.08,"null",0.03,4.17,"null",9.2,68.7,1021.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/18/2019",56,64.1,60.5,47.5,62.8,"null",6.9,"null",102.92,"null",0,0,"null",9.7,77.8,1027.1,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Overcast"
"San Francisco, CA, USA","1/19/2019",56.9,65,59.8,50.6,72.39,"null",12.8,"null",110.83,"null",0.03,8.33,"null",9.5,56.5,1023,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/20/2019",52.1,57.8,55.7,46.1,70.61,"null",23,49.4,259.17,"null",0.26,37.5,"null",8.9,52.7,1017.9,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/21/2019",43.1,57.8,53.2,39.9,60.8,"null",18.3,"null",204.58,37.8,0,0,"null",9.9,25.4,1025.8,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/22/2019",45,60.2,51.5,33.6,51.5,"null",6.9,"null",114.58,42.6,0,0,"null",9.9,36,1029.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/23/2019",44.1,60.2,51.7,39.6,64.22,"null",9.2,"null",139.17,41.5,0,0,"null",9.9,35.6,1026.8,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/24/2019",45,64.1,53.7,42.1,66.25,"null",9.2,"null",113.04,43.1,0,0,"null",9.9,17.4,1023.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","1/25/2019",47,65,54,41.9,64.35,"null",8.1,"null",75.83,46,0,0,"null",9.8,20,1023.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","1/26/2019",50,61.1,55.6,44.4,66.93,"null",8.1,"null",108.33,48.4,0,0,"null",9.4,41.1,1024.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/27/2019",52.1,66.8,56.8,46.4,70.01,"null",15,"null",207.5,"null",0,0,"null",9.6,52.1,1019.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/28/2019",52.1,62.1,56,48.9,77.46,"null",18.3,"null",179.58,"null",0.01,4.17,"null",9.9,54,1016.1,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/29/2019",50,57.8,53.3,47.6,80.94,"null",17.2,"null",193.33,46.3,0,0,"null",9.8,56.1,1014.6,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","1/30/2019",52.1,59,54.6,48.7,80.54,"null",12.8,"null",133.75,"null",0.49,33.33,"null",8.1,65.4,1011.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","1/31/2019",52.1,57.8,55.3,49.1,79.63,"null",10.3,"null",156.25,"null",0,0,"null",9.5,45.4,1012.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/1/2019",52.1,57.8,54.7,47,75.35,"null",24.2,32.2,121.25,"null",0.49,54.17,"null",9.5,58.5,1003.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/2/2019",50,59,53.4,45.9,76.41,"null",30,42.5,157.5,42,0.42,62.5,"null",7.7,64,998.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/3/2019",49.5,56,52.7,44.7,74.48,"null",30,40.3,208.33,42.9,0.47,50,"null",8.4,51.6,1003.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/4/2019",41,50,45.3,35.9,69.8,"null",20.8,35.6,252.5,33.1,0.33,58.33,"null",9.2,56,1005.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/5/2019",42.2,50,45.8,31.7,58.18,"null",15,"null",247.39,37.8,0,0,"null",9.9,21.5,1016.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","2/6/2019",39.8,56,47.1,36.8,68.12,"null",13.9,31.1,136.67,37.8,0,0,"null",9.9,42.7,1023.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/7/2019",44.1,53.1,48.4,37.1,65.39,"null",11.4,"null",128.33,39,0,0,"null",9.9,68.6,1022.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/8/2019",43.1,52.1,47,40.5,78.29,"null",17.2,"null",143.22,40.7,0.5,25,"null",9.2,60.2,1014.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/9/2019",41,55.1,48.5,40.7,74.88,"null",23,39.1,223.91,35.2,0.56,70.83,"null",8.1,54.6,1012.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/10/2019",41,50,45.9,35.5,67.51,"null",24.2,29.9,226.67,37.9,0.01,4.17,"null",9.8,43.7,1019.9,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/11/2019",41,52.1,45.9,37.3,72.45,"null",8.1,"null",110.42,37.9,0,0,"null",9.9,39.4,1021.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/12/2019",45,54,50,39.5,67.62,"null",25.3,33.3,98.75,41.3,0.81,50,"null",8.1,64.6,1009.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/13/2019",50,65,58.1,52.5,81.64,"null",41.4,62.2,151.67,42.7,1.27,83.33,"null",6.4,65,998.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/14/2019",45,56,51.5,43.5,74.57,"null",26.4,34.4,233.75,40.1,0.74,45.83,"null",8.2,57.2,1007.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/15/2019",45,53.1,48.5,39.7,71.86,"null",23,31.1,203.18,40.6,0.26,45.83,"null",8.9,52,1017.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/16/2019",44.1,53.1,47.9,38.6,70.56,"null",27.7,41.4,263.33,37.7,0.23,20.83,"null",9.1,45.4,1019.8,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
