X,Y
1,77
2,27
3,89
4,44
5,7
6,29
7,44
8,29
9,93
10,99
11,59
12,86
13,86
14,63
15,13
16,13
17,82
18,32
19,87
20,4
21,21
22,84
23,12
24,100
25,1
26,24
27,29
28,75
29,30
30,100
31,78
32,13
33,62
34,99
35,21
36,71
37,38
38,8
39,35
40,47
41,98
42,71
43,61
44,44
45,25
46,65
47,52
48,89
49,82
50,74
51,45
52,92
53,27
54,33
55,21
56,77
57,51
58,99
59,8
60,14
61,83
62,98
63,97
64,69
65,13
66,61
67,50
68,84
69,9
70,65
71,62
72,90
73,69
74,58
75,58
76,8
77,17
78,68
79,88
80,1
81,84
82,29
83,31
84,11
85,11
86,7
87,87
88,32
89,56
90,20
91,48
92,36
93,19
94,54
95,43
96,50
97,100
98,30
99,21
100,95
