X,Y,Label
19,6,tHpcVc
33,21,tHpcVc
25,63,tHpcVc
58,76,Qscuaz
30,77,MLZbd
67,51,HJREqQ
40,61,Qscuaz
99,15,tHpcVc
66,22,MLZbd
52,11,sxg
84,8,HJREqQ
44,99,MLZbd
50,45,Qscuaz
50,100,MLZbd
60,5,sxg
85,25,tHpcVc
14,88,sxg
74,24,tHpcVc
84,74,HJREqQ
48,65,HJREqQ
62,78,MLZbd
42,67,sxg
15,69,Qscuaz
51,86,Qscuaz
45,18,HJREqQ
53,20,tHpcVc
71,56,MLZbd
6,25,MLZbd
63,69,Qscuaz
15,78,tHpcVc
7,91,HJREqQ
80,20,sxg
76,96,MLZbd
69,12,sxg
60,95,tHpcVc
97,87,HJREqQ
12,46,Qscuaz
82,82,Qscuaz
20,20,Qscuaz
4,41,tHpcVc
21,11,tHpcVc
48,32,tHpcVc
19,15,Qscuaz
58,10,tHpcVc
81,47,MLZbd
26,37,sxg
8,90,Qscuaz
24,93,sxg
14,15,MLZbd
64,9,MLZbd
