Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Seattle,WA,US","1/1/2019",30.8,44.1,36.6,31.1,81.05,"null",8.1,"null",65.42,25,0,0,"null",9.3,51.9,1027.5,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/2/2019",36,47,43.4,36.3,77,"null",12.8,"null",105,31.2,0.41,33.33,"null",7.7,89.9,1017.1,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/3/2019",46.1,56,51.4,44,76.63,"null",19.7,36.7,168.75,42,0.39,58.33,"null",9.2,86.7,1008.2,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/4/2019",39.8,51.2,47.2,41,79.38,"null",15,32.2,76.67,47,0,0,"null",9.9,65.7,1008.2,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/5/2019",41,50,46.4,41,81.69,"null",33.3,46.1,108.33,32.2,0.18,40,"null",9.6,83.5,993.1,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/6/2019",37.1,47,41.2,35.1,79.15,"null",11.4,18.3,158.64,30.5,0.26,29.17,"null",9.5,82.3,1005.3,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/7/2019",37.1,45,40.7,32,71.27,"null",8.1,"null",132.73,32.8,0,0,"null",9.9,58.6,1020.7,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/8/2019",42.2,47,44.3,38.6,81.01,"null",11.4,"null",154.76,36.7,0.34,62.5,"null",9.6,91.6,1009.7,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/9/2019",45,52.1,48.8,43.4,82.06,"null",15,"null",140.83,42.3,0.27,62.5,"null",9.6,87.5,1010,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/10/2019",41,53.1,47.3,42.6,83.97,"null",8.1,"null",55.83,46,0,0,"null",9.5,64.4,1017.9,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/11/2019",33.2,55.1,44.9,38.5,78.85,"null",8.1,"null",82.5,"null",0,0,"null",9.9,22.4,1014,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Clear"
"Seattle,WA,US","1/12/2019",33.2,56,42.5,35.7,78.47,"null",3.4,"null",26.67,"null",0,0,"null",9.8,22.4,1018.4,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Clear"
"Seattle,WA,US","1/13/2019",30.8,53.1,39.9,33,77.73,"null",5.8,"null",106.67,30.2,0,0,"null",9.9,0,1020.1,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Clear"
"Seattle,WA,US","1/14/2019",29,51.2,39.5,32.9,79.1,"null",5.8,"null",94.78,23.9,0,0,"null",7.8,9.5,1014.4,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Clear"
"Seattle,WA,US","1/15/2019",29,47.9,37.9,31.6,79.12,"null",5.8,"null",31.04,22.9,0,0,"null",9.3,40.6,1009.2,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/16/2019",35.1,52.1,47.1,35.6,65.71,"null",10.3,19.7,137.92,30.9,0.06,8.33,"null",9.8,86.1,1002.6,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/17/2019",47,55.1,50.2,40.5,69.9,"null",18.3,26.4,171.74,42.3,0.12,29.17,"null",9.8,84.9,1008,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/18/2019",45,53.1,48.7,41.6,77.1,"null",15,25.3,145.83,40.7,0.3,37.5,"null",9.5,67.1,1015.2,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Partially cloudy"
"Seattle,WA,US","1/19/2019",38.9,51.2,45.3,39.5,80.39,"null",15,24.2,148.7,38.9,0.07,8.33,"null",9.9,36.9,1019.5,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Partially cloudy"
"Seattle,WA,US","1/20/2019",35.1,47,40.6,35.4,82.39,"null",10.3,18.3,130,31.1,0,0,"null",9.9,66,1016.2,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/21/2019",38.9,47,42,34.5,74.62,"null",9.2,"null",130,33.3,0,0,"null",9.9,68.9,1028.7,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/22/2019",44.1,52.1,47.3,44.2,89.24,"null",18.3,34.4,182.08,38.8,0.63,62.5,"null",6,83.4,1020,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/23/2019",44.1,50,47,42.5,84.43,"null",8.1,"null",65.91,42,0.09,16.67,"null",6.9,90.4,1030,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","1/24/2019",42.2,47.9,45.5,39.9,80.64,"null",8.1,"null",65.83,44.2,0,0,"null",9.3,77.1,1032.1,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Overcast"
"Seattle,WA,US","1/25/2019",35.1,50,43.4,36.9,78.55,"null",5.8,"null",51.3,36.7,0,0,"null",9,35.6,1034.1,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/26/2019",35.1,52.1,43,37.4,81.2,"null",6.9,"null",95.71,31.1,0,0,"null",7.7,36.9,1030.6,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/27/2019",38,44.1,42.2,37.5,83.44,"null",5.8,"null",72,35.7,0,0,"null",8.6,94.5,1028.8,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Overcast"
"Seattle,WA,US","1/28/2019",33.2,50,41.4,31.8,69.66,"null",8.1,"null",149.13,32.3,0,0,"null",9.9,17.2,1023.5,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Clear"
"Seattle,WA,US","1/29/2019",32,53.1,41.3,29.5,65.15,"null",6.9,"null",146.36,26.4,0,0,"null",9.9,3.5,1018.1,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Clear"
"Seattle,WA,US","1/30/2019",34.1,50,42.8,32.7,68.72,"null",5.8,"null",70.48,31.2,0,0,"null",9.9,41.6,1013.9,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","1/31/2019",41,54,49.1,37.8,66.11,"null",9.2,"null",126.88,35.2,0.18,16.67,"null",9.5,86.9,1006.8,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","2/1/2019",44.1,51.2,47.8,44.4,87.75,"null",10.3,18.3,151.74,39.5,0.34,50,"null",8.2,72.8,1003.4,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Partially cloudy"
"Seattle,WA,US","2/2/2019",39.8,47.9,44.2,37.6,77.6,"null",12.8,20.8,152.17,32.4,0.02,4.17,"null",9.5,76.9,999,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","2/3/2019",26.1,42.2,33.8,28.2,80.01,"null",15,21.9,231.43,16.7,0.21,45.83,"null",4.6,84.7,997.6,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Rain, Overcast"
"Seattle,WA,US","2/4/2019",16.1,29,24.8,16.8,71.94,"null",11.4,24.2,110.59,7.5,0,0,"null",8.5,41.1,1007.4,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Partially cloudy"
"Seattle,WA,US","2/5/2019",19.1,34.1,26.5,17.9,71.28,"null",6.9,"null",89.5,12.2,0,0,"null",9.8,24,1017.9,"null",47.6036,-122.329,"Seattle, WA, United States","Seattle, WA, United States","null","Clear"
