Name,Value,Group
lLMD/LFFzw/yESOh/bEUAw,34.6066,fcY
mvalFU/BVmxa/Rlg/BhYe,12.8369,hjZcVU
lLMD/Rok/TqnzEA/CSshK,97.365,fcY
lLMD/LFFzw/yESOh/arnj,16.2716,YVo
mvalFU/LFFzw/wninwi/Pwcdm,36.1689,YVo
lLMD/tjaVv/Rlg/UmcyF,46.2043,YVo
lLMD/tjaVv/qmE/MXjGUq,72.7942,IzJDd
mvalFU/BVmxa/WgvCpI/Pwcdm,75.1029,nJsOGu
mvalFU/LFFzw/PBrJ/Pwcdm,87.0695,kEIaOH
lLMD/tjaVv/yESOh/BhYe,12.9985,bRdMWk
lLMD/BVmxa/qmE/wdzw,5.13653,YVo
mvalFU/LFFzw/EGjYZk/MXjGUq,77.8774,Cbx
lLMD/Rok/wninwi/RjF,23.2724,GvhRs
mvalFU/LFFzw/PBrJ/EDCUk,39.6319,fcY
lLMD/tjaVv/wninwi/EyyxJR,88.7626,nJsOGu
mvalFU/Rok/wninwi/EDCUk,38.8099,ZAMoB
mvalFU/Rok/qmE/UAcukb,57.5603,hjZcVU
lLMD/BVmxa/PBrJ/jlRLtQ,35.1935,fcY
mvalFU/BVmxa/wninwi/kGHl,10.2497,YVo
lLMD/LFFzw/qmE/jlRLtQ,57.4089,YVo
mvalFU/Rok/TqnzEA/UmcyF,91.1018,hjZcVU
lLMD/tjaVv/WgvCpI/bEUAw,84.6509,ZAMoB
mvalFU/tjaVv/wninwi/EDCUk,38.4247,YVo
mvalFU/LFFzw/qmE/BhYe,32.6121,kEIaOH
lLMD/LFFzw/WgvCpI/bEUAw,88.0739,bRdMWk
mvalFU/Rok/qmE/zjslP,91.0798,bRdMWk
mvalFU/Rok/wninwi/BVWNrE,39.2153,Cbx
lLMD/Rok/EGjYZk/EDCUk,85.2206,kEIaOH
lLMD/BVmxa/wninwi/EyyxJR,49.4893,kEIaOH
lLMD/LFFzw/qmE/kGHl,22.4656,bRdMWk
mvalFU/LFFzw/WgvCpI/EDCUk,62.5732,nJsOGu
lLMD/tjaVv/WgvCpI/RjF,35.3562,nJsOGu
mvalFU/BVmxa/WgvCpI/UmcyF,40.2055,hjZcVU
mvalFU/LFFzw/wninwi/UmcyF,78.7732,nJsOGu
lLMD/BVmxa/qmE/UmcyF,33.6426,kEIaOH
mvalFU/Rok/yESOh/BhYe,81.2772,kEIaOH
mvalFU/tjaVv/yESOh/CSshK,63.8397,Cbx
mvalFU/Rok/Rlg/UmcyF,56.7964,bRdMWk
lLMD/LFFzw/PBrJ/MXjGUq,10.6714,YVo
mvalFU/BVmxa/PBrJ/arnj,83.6513,hjZcVU
lLMD/BVmxa/qmE/bEUAw,6.95809,IzJDd
mvalFU/BVmxa/yESOh/Pwcdm,44.763,IzJDd
lLMD/BVmxa/PBrJ/arnj,13.883,IzJDd
lLMD/tjaVv/WgvCpI/bEUAw,88.3054,fcY
lLMD/tjaVv/WgvCpI/wdzw,99.463,bRdMWk
mvalFU/Rok/WgvCpI/bEUAw,29.7981,nJsOGu
lLMD/Rok/TqnzEA/jlRLtQ,76.6624,kEIaOH
mvalFU/tjaVv/qmE/BVWNrE,21.5496,nJsOGu
lLMD/tjaVv/yESOh/arnj,85.5598,kEIaOH
lLMD/tjaVv/TqnzEA/EyyxJR,87.1267,ZAMoB
