# location,geometry
Bahamas,{{{{-77.5347 23.7598} {-77.78 23.71} {-78.034 24.2861} {-78.4085 24.5756} {-78.1909 25.2103} {-77.89 25.17} {-77.54 24.34} {-77.5347 23.7598}}} {{{-77.82 26.58} {-78.91 26.42} {-78.98 26.79} {-78.51 26.87} {-77.85 26.84} {-77.82 26.58}}} {{{-77 26.59} {-77.1726 25.8792} {-77.3564 26.0073} {-77.34 26.53} {-77.788 26.9252} {-77.79 27.04} {-77 26.59}}}}
Belize,{{{-89.1431 17.8083} {-89.1509 17.9555} {-89.0299 18.0015} {-88.8483 17.8832} {-88.4901 18.4868} {-88.3 18.5} {-88.2963 18.3533} {-88.1068 18.3487} {-88.1235 18.0767} {-88.2854 17.6441} {-88.1979 17.4895} {-88.3026 17.1317} {-88.2395 17.0361} {-88.3554 16.5308} {-88.5518 16.2655} {-88.7324 16.2336} {-88.9306 15.8873} {-89.2291 15.8869} {-89.1508 17.0156} {-89.1431 17.8083}}}
Canada,{{{{-63.6645 46.55} {-62.9393 46.4159} {-62.0121 46.4431} {-62.5039 46.0334} {-62.8743 45.9682} {-64.1428 46.3927} {-64.3926 46.7275} {-64.0149 47.036} {-63.6645 46.55}}} {{{-61.8063 49.1051} {-62.2932 49.0872} {-63.5893 49.4007} {-64.5191 49.873} {-64.1732 49.9572} {-62.8583 49.7064} {-61.8356 49.2886} {-61.8063 49.1051}}} {{{-123.51 48.51} {-124.013 48.3708} {-125.655 48.825} {-125.955 49.18} {-126.85 49.53} {-127.03 49.815} {-128.059 49.995} {-128.445 50.5391} {-128.358 50.7706} {-127.309 50.5526} {-126.695 50.4009} {-125.755 50.295} {-125.415 49.95} {-124.921 49.4753} {-123.923 49.0625} {-123.51 48.51}}} {{{-56.134 50.687} {-56.7959 49.8123} {-56.1431 50.1501} {-55.4715 49.9358} {-55.8224 49.5871} {-54.9351 49.313} {-54.4738 49.5567} {-53.4765 49.2491} {-53.786 48.5168} {-53.0861 48.6878} {-52.9586 48.1572} {-52.6481 47.5355} {-53.0692 46.6555} {-53.5215 46.6183} {-54.1789 46.8071} {-53.9619 47.6252} {-54.2405 47.7523} {-55.4008 46.885} {-55.9975 46.9197} {-55.2912 47.3896} {-56.2508 47.6325} {-57.3252 47.5728} {-59.266 47.6033} {-59.4195 47.8995} {-58.7966 48.2515} {-59.2316 48.5232} {-58.3918 49.1256} {-57.3587 50.7183} {-56.7387 51.2874} {-55.871 51.6321} {-55.407 51.5883} {-55.6002 51.3171} {-56.134 50.687}}} {{{-133.18 54.17} {-132.71 54.04} {-131.75 54.12} {-132.049 52.9846} {-131.179 52.1804} {-131.578 52.1824} {-132.18 52.6397} {-132.55 53.1} {-133.055 53.4115} {-133.24 53.8511} {-133.18 54.17}}} {{{-79.2658 62.1587} {-79.6575 61.6331} {-80.0996 61.7181} {-80.3621 62.0165} {-80.3154 62.0856} {-79.9294 62.3856} {-79.52 62.3637} {-79.2658 62.1587}}} {{{-81.8983 62.7108} {-83.0686 62.1592} {-83.7746 62.1823} {-83.9937 62.4528} {-83.2505 62.9141} {-81.877 62.9046} {-81.8983 62.7108}}} {{{-85.1613 65.6573} {-84.9758 65.2175} {-84.464 65.3718} {-83.8826 65.1096} {-82.7876 64.7667} {-81.642 64.4551} {-81.5534 63.9796} {-80.8174 64.0575} {-80.1035 63.726} {-80.991 63.4112} {-82.5472 63.6517} {-83.1088 64.1019} {-84.1004 63.5697} {-85.5234 63.0524} {-85.8668 63.6373} {-87.222 63.5412} {-86.3528 64.0358} {-86.2249 64.8229} {-85.8838 65.7388} {-85.1613 65.6573}}} {{{-75.8659 67.1489} {-76.9869 67.0987} {-77.2364 67.5881} {-76.8117 68.1486} {-75.8952 68.2872} {-75.1145 68.0104} {-75.1033 67.582} {-75.216 67.4442} {-75.8659 67.1489}}} {{{-95.6477 69.1077} {-96.2695 68.757} {-97.6174 69.06} {-98.4318 68.9507} {-99.7974 69.4} {-98.9174 69.71} {-98.2183 70.1435} {-97.1574 69.86} {-96.5574 69.68} {-96.2574 69.49} {-95.6477 69.1077}}} {{{-90.5471 69.4977} {-90.5515 68.475} {-89.2151 69.2587} {-88.0197 68.6151} {-88.3175 67.8734} {-87.3502 67.1987} {-86.3061 67.9215} {-85.5766 68.7846} {-85.522 69.8821} {-84.1008 69.8054} {-82.6226 69.6583} {-81.2804 69.162} {-81.2202 68.6657} {-81.9644 68.1325} {-81.2593 67.5972} {-81.3865 67.1108} {-83.3446 66.4115} {-84.7354 66.2573} {-85.7694 66.5583} {-86.0676 66.0563} {-87.0314 65.213} {-87.3232 64.7756} {-88.483 64.099} {-89.9144 64.0327} {-90.704 63.6102} {-90.77 62.9602} {-91.9334 62.8351} {-93.157 62.0247} {-94.2415 60.8987} {-94.6293 60.1102} {-94.6846 58.9488} {-93.215 58.7821} {-92.7646 57.8457} {-92.297 57.0871} {-90.8977 57.2847} {-89.0395 56.8517} {-88.0398 56.4716} {-87.3242 55.9991} {-86.0712 55.7238} {-85.0118 55.3026} {-83.3606 55.2449} {-82.2729 55.1483} {-82.4362 54.2823} {-82.125 53.277} {-81.4008 52.1579} {-79.9129 51.2084} {-79.143 51.5339} {-78.6019 52.5621} {-79.1242 54.1414} {-79.8296 54.6677} {-78.2287 55.1365} {-77.0956 55.8374} {-76.5414 56.5342} {-76.6232 57.2026} {-77.3023 58.0521} {-78.5169 58.8046} {-77.3368 59.8526} {-77.7727 60.7579} {-78.1069 62.3196} {-77.4107 62.5505} {-75.6962 62.2784} {-74.6682 62.1811} {-73.8399 62.4438} {-72.9085 62.1051} {-71.6771 61.5254} {-71.3737 61.1372} {-69.5904 61.0614} {-69.6203 60.2212} {-69.2879 58.9574} {-68.3745 58.8011} {-67.6498 58.2121} {-66.2018 58.7673} {-65.2452 59.8707} {-64.5835 60.3356} {-63.8047 59.4426} {-62.5024 58.1671} {-61.3965 56.9674} {-61.7987 56.3394} {-60.4685 55.7755} {-59.5696 55.2041} {-57.9751 54.9455} {-57.3332 54.6265} {-56.9369 53.7803} {-56.1581 53.6475} {-55.7563 53.2704} {-55.6834 52.1466} {-56.4092 51.7707} {-57.1269 51.4197} {-58.7748 51.0643} {-60.0331 50.2428} {-61.7237 50.0805} {-63.8625 50.291} {-65.3633 50.2982} {-66.3991 50.229} {-67.2363 49.5116} {-68.5111 49.0684} {-69.9536 47.7449} {-71.1046 46.8217} {-70.2552 46.9861} {-68.65 48.3} {-66.5524 49.1331} {-65.0563 49.2328} {-64.171 48.7425} {-65.1154 48.0709} {-64.7985 46.993} {-64.4722 46.2385} {-63.1733 45.739} {-61.5207 45.8838} {-60.5181 47.0079} {-60.4486 46.2826} {-59.8029 45.9204} {-61.0399 45.2653} {-63.2547 44.6701} {-64.2466 44.2655} {-65.3641 43.5452} {-66.1234 43.6187} {-66.1617 44.4651} {-64.4255 45.292} {-66.026 45.2593} {-67.1374 45.1375} {-67.7913 45.7028} {-67.7905 47.0664} {-68.2344 47.3549} {-68.905 47.185} {-69.2372 47.4478} {-70 46.6931} {-70.305 45.915} {-70.66 45.46} {-71.0848 45.3052} {-71.405 45.255} {-71.5051 45.0082} {-73.3478 45.0074} {-74.867 45.0005} {-75.3182 44.8165} {-76.375 44.0963} {-76.5 44.0185} {-76.82 43.6288} {-77.7379 43.6291} {-78.7203 43.6251} {-79.1717 43.4663} {-79.01 43.27} {-78.92 42.965} {-78.9394 42.8636} {-80.2474 42.3662} {-81.2777 42.209} {-82.4393 41.6751} {-82.6901 41.6751} {-83.0298 41.8328} {-83.142 41.9757} {-83.12 42.08} {-82.9 42.43} {-82.43 42.98} {-82.1376 43.5711} {-82.3378 44.44} {-82.5509 45.3475} {-83.5929 45.8169} {-83.4696 45.9947} {-83.6161 46.1169} {-83.8908 46.1169} {-84.0919 46.2754} {-84.1421 46.5122} {-84.3367 46.4088} {-84.6049 46.4396} {-84.5437 46.5387} {-84.7792 46.6371} {-84.8761 46.9001} {-85.6524 47.2202} {-86.462 47.5533} {-87.4398 47.94} {-88.3781 48.3029} {-89.2729 48.0198} {-89.6 48.01} {-90.83 48.27} {-91.64 48.14} {-92.61 48.45} {-93.6309 48.6093} {-94.3291 48.6707} {-94.64 48.84} {-94.8176 49.389} {-95.1561 49.3843} {-95.1591 49} {-97.2287 49.0007} {-100.65 49} {-104.048 48.9999} {-107.05 49} {-110.05 49} {-113 49} {-116.048 49} {-117.031 49} {-120 49} {-122.84 49} {-122.974 49.0025} {-124.91 49.9846} {-125.625 50.4166} {-127.436 50.8306} {-127.993 51.7158} {-127.85 52.3296} {-129.13 52.7554} {-129.305 53.5616} {-130.515 54.2876} {-130.536 54.8028} {-129.98 55.285} {-130.008 55.9158} {-131.708 56.5521} {-132.73 57.6929} {-133.356 58.4103} {-134.271 58.8611} {-134.945 59.2706} {-135.476 59.7878} {-136.48 59.4639} {-137.452 58.905} {-138.341 59.5621} {-139.039 60} {-140.013 60.2768} {-140.998 60.3064} {-140.993 66} {-140.986 69.712} {-139.121 69.471} {-137.546 68.99} {-136.504 68.898} {-135.626 69.3151} {-134.415 69.6274} {-132.929 69.5053} {-131.431 69.9445} {-129.795 70.1937} {-129.108 69.7793} {-128.362 70.0129} {-128.138 70.4838} {-127.447 70.3772} {-125.756 69.4806} {-124.425 70.1584} {-124.29 69.3997} {-123.061 69.5637} {-122.683 69.8555} {-121.472 69.7978} {-119.943 69.3779} {-117.603 69.0113} {-116.226 68.8415} {-115.247 68.9059} {-113.898 68.3989} {-115.305 67.9026} {-113.497 67.6881} {-110.798 67.8061} {-109.946 67.981} {-108.88 67.3814} {-107.792 67.8874} {-108.813 68.3116} {-108.167 68.6539} {-106.95 68.7} {-106.15 68.8} {-105.343 68.5612} {-104.338 68.018} {-103.221 68.0978} {-101.454 67.6469} {-99.9019 67.8057} {-98.4432 67.7816} {-98.5586 68.4039} {-97.6695 68.5786} {-96.1199 68.2394} {-96.1259 67.2934} {-95.4894 68.0907} {-94.685 68.0638} {-94.2328 69.069} {-95.3041 69.6857} {-96.4713 70.0898} {-96.3911 71.1948} {-95.2088 71.9205} {-93.89 71.7601} {-92.8782 71.3187} {-91.5196 70.1913} {-92.4069 69.7} {-90.5471 69.4977}}} {{{-114.167 73.1214} {-114.666 72.6528} {-112.441 72.9554} {-111.05 72.4504} {-109.92 72.9611} {-109.007 72.6333} {-108.188 71.6509} {-107.686 72.0655} {-108.396 73.0895} {-107.516 73.236} {-106.523 73.076} {-105.402 72.6726} {-104.775 71.6984} {-104.465 70.993} {-102.785 70.4978} {-100.981 70.0243} {-101.089 69.5845} {-102.731 69.504} {-102.093 69.1196} {-102.43 68.7528} {-104.24 68.91} {-105.96 69.18} {-107.123 69.1192} {-109 68.78} {-111.534 68.6301} {-113.313 68.5355} {-113.855 69.0074} {-115.22 69.28} {-116.108 69.1682} {-117.34 69.96} {-116.675 70.0666} {-115.131 70.2373} {-113.721 70.1924} {-112.416 70.3664} {-114.35 70.6} {-116.487 70.5204} {-117.905 70.5406} {-118.432 70.9092} {-116.113 71.3092} {-117.656 71.2952} {-119.402 71.5586} {-118.563 72.3079} {-117.866 72.7059} {-115.189 73.3146} {-114.167 73.1214}}} {{{-104.5 73.42} {-105.38 72.76} {-106.94 73.46} {-106.6 73.6} {-105.26 73.64} {-104.5 73.42}}} {{{-76.34 73.1027} {-76.2514 72.8264} {-77.3144 72.8555} {-78.3917 72.8767} {-79.4863 72.7422} {-79.7758 72.8029} {-80.8761 73.3332} {-80.8339 73.6932} {-80.3531 73.7597} {-78.0644 73.6519} {-76.34 73.1027}}} {{{-86.5622 73.1574} {-85.7744 72.5341} {-84.8501 73.3403} {-82.3156 73.751} {-80.6001 72.7165} {-80.7489 72.0619} {-78.7706 72.3522} {-77.8246 72.7496} {-75.6058 72.2437} {-74.2286 71.7671} {-74.0991 71.3308} {-72.2422 71.5569} {-71.2 70.92} {-68.7861 70.525} {-67.915 70.1219} {-66.969 69.1861} {-68.8051 68.7202} {-66.4499 68.0672} {-64.8623 67.8475} {-63.4249 66.9285} {-61.852 66.8621} {-62.1632 66.1603} {-63.9184 64.9987} {-65.1489 65.426} {-66.7212 66.388} {-68.015 66.2627} {-68.1413 65.6898} {-67.0896 65.1085} {-65.7321 64.6484} {-65.3202 64.3827} {-64.6694 63.3929} {-65.0138 62.6742} {-66.275 62.9451} {-68.7832 63.7457} {-67.3697 62.884} {-66.3283 62.2801} {-66.1656 61.9309} {-68.8774 62.3301} {-71.0234 62.9107} {-72.2354 63.3978} {-71.8863 63.68} {-73.3783 64.194} {-74.8344 64.6791} {-74.8185 64.3891} {-77.71 64.2295} {-78.5559 64.5729} {-77.8973 65.3092} {-76.0183 65.327} {-73.9598 65.4548} {-74.2939 65.8118} {-73.9449 66.3106} {-72.6512 67.2846} {-72.9261 67.7269} {-73.3116 68.0694} {-74.8433 68.5546} {-76.8691 68.8947} {-76.2286 69.1478} {-77.2874 69.7695} {-78.1686 69.8265} {-78.9572 70.1669} {-79.4925 69.8718} {-81.3055 69.7432} {-84.9447 69.9666} {-87.06 70.26} {-88.6817 70.4107} {-89.5134 70.762} {-88.4677 71.2182} {-89.8882 71.2226} {-90.2052 72.2351} {-89.4366 73.1295} {-88.4082 73.5379} {-85.8262 73.8038} {-86.5622 73.1574}}} {{{-100.356 73.8439} {-99.1639 73.6334} {-97.38 73.76} {-97.12 73.47} {-98.0536 72.9905} {-96.54 72.56} {-96.72 71.66} {-98.3597 71.2729} {-99.3229 71.3564} {-100.015 71.7383} {-102.5 72.51} {-102.48 72.83} {-100.438 72.7059} {-101.54 73.36} {-100.356 73.8439}}} {{{-93.1963 72.772} {-94.269 72.0246} {-95.4099 72.0619} {-96.0337 72.9403} {-96.0183 73.4374} {-95.4958 73.8624} {-94.5037 74.1349} {-92.42 74.1} {-90.5098 73.8567} {-92.004 72.9662} {-93.1963 72.772}}} {{{-120.46 71.3836} {-123.092 70.9016} {-123.62 71.34} {-125.929 71.8687} {-125.5 72.2923} {-124.807 73.0226} {-123.94 73.68} {-124.918 74.2928} {-121.538 74.4489} {-120.11 74.2413} {-117.556 74.1858} {-116.584 73.8961} {-115.511 73.4752} {-116.768 73.2229} {-119.22 72.52} {-120.46 71.82} {-120.46 71.3836}}} {{{-93.6128 74.98} {-94.1569 74.5923} {-95.6087 74.6669} {-96.8209 74.9276} {-96.2886 75.3778} {-94.8508 75.6472} {-93.9777 75.2965} {-93.6128 74.98}}} {{{-98.5 76.72} {-97.7356 76.2566} {-97.7044 75.7434} {-98.16 75} {-99.8087 74.8974} {-100.884 75.0574} {-100.863 75.6407} {-102.502 75.5638} {-102.566 76.3366} {-101.49 76.3054} {-99.9835 76.6463} {-98.577 76.5886} {-98.5 76.72}}} {{{-108.211 76.2017} {-107.819 75.8455} {-106.929 76.0128} {-105.881 75.9694} {-105.705 75.4795} {-106.313 75.0053} {-109.7 74.85} {-112.223 74.417} {-113.744 74.3943} {-113.871 74.7203} {-111.794 75.1625} {-116.312 75.0434} {-117.71 75.2222} {-116.346 76.199} {-115.405 76.4789} {-112.591 76.1413} {-110.814 75.5492} {-109.067 75.4732} {-110.497 76.4298} {-109.581 76.7942} {-108.549 76.6783} {-108.211 76.2017}}} {{{-94.6841 77.0979} {-93.5739 76.7763} {-91.605 76.7785} {-90.7418 76.4496} {-90.9697 76.074} {-89.8222 75.8478} {-89.1871 75.6102} {-87.8383 75.5662} {-86.3792 75.4824} {-84.7896 75.6992} {-82.7534 75.7843} {-81.1285 75.714} {-80.0575 75.3368} {-79.8339 74.9231} {-80.4578 74.6573} {-81.9488 74.4425} {-83.2289 74.564} {-86.0975 74.41} {-88.1504 74.3923} {-89.7647 74.5156} {-92.4224 74.8378} {-92.7683 75.3868} {-92.8899 75.8827} {-93.8938 76.3192} {-95.9625 76.4414} {-97.1214 76.7511} {-96.7451 77.1614} {-94.6841 77.0979}}} {{{-116.199 77.6453} {-116.336 76.877} {-117.106 76.53} {-118.04 76.4812} {-119.899 76.0532} {-121.5 75.9} {-122.855 76.1165} {-122.855 76.1165} {-121.158 76.8645} {-119.104 77.5122} {-117.57 77.4983} {-116.199 77.6453}}} {{{-93.84 77.52} {-94.2956 77.4913} {-96.1697 77.5551} {-96.4363 77.8346} {-94.4226 77.82} {-93.7207 77.6343} {-93.84 77.52}}} {{{-110.187 77.697} {-112.051 77.4092} {-113.534 77.7322} {-112.725 78.0511} {-111.264 78.153} {-109.854 77.9963} {-110.187 77.697}}} {{{-109.663 78.602} {-110.881 78.4069} {-112.542 78.4079} {-112.526 78.5506} {-111.5 78.85} {-110.964 78.8044} {-109.663 78.602}}} {{{-95.8303 78.0569} {-97.3098 77.8506} {-98.1243 78.0829} {-98.5529 78.4581} {-98.632 78.8719} {-97.3372 78.832} {-96.7544 78.7658} {-95.5593 78.4183} {-95.8303 78.0569}}} {{{-100.06 78.3248} {-99.6709 77.9075} {-101.304 78.019} {-102.95 78.3432} {-105.176 78.3803} {-104.21 78.6774} {-105.42 78.9183} {-105.492 79.3016} {-103.529 79.1653} {-100.825 78.8005} {-100.06 78.3248}}} {{{-87.02 79.66} {-85.8144 79.3369} {-87.1876 79.0393} {-89.0353 78.2872} {-90.8044 78.2153} {-92.8767 78.3433} {-93.9512 78.751} {-93.9357 79.1137} {-93.1452 79.3801} {-94.974 79.3725} {-96.0761 79.705} {-96.7097 80.1578} {-96.0164 80.6023} {-95.3234 80.9073} {-94.2984 80.9773} {-94.7354 81.2065} {-92.4098 81.2574} {-91.1329 80.7234} {-89.45 80.5093} {-87.81 80.32} {-87.02 79.66}}} {{{-68.5 83.1063} {-65.8273 83.028} {-63.68 82.9} {-61.85 82.6286} {-61.8939 82.3616} {-64.334 81.9278} {-66.7534 81.7253} {-67.6576 81.5014} {-65.4803 81.5066} {-67.84 80.9} {-69.4697 80.6168} {-71.18 79.8} {-73.2428 79.6342} {-73.88 79.4302} {-76.9077 79.3231} {-75.5292 79.1977} {-76.2205 79.0191} {-75.3935 78.5258} {-76.3435 78.183} {-77.8885 77.8999} {-78.3627 77.5086} {-79.7595 77.2097} {-79.6196 76.9834} {-77.9109 77.022} {-77.8891 76.778} {-80.5613 76.1781} {-83.1744 76.454} {-86.1118 76.299} {-87.6 76.42} {-89.4907 76.4724} {-89.6161 76.9521} {-87.7674 77.1783} {-88.26 77.9} {-87.65 77.9702} {-84.9763 77.5387} {-86.34 78.18} {-87.9619 78.3718} {-87.152 78.7587} {-85.3787 78.9969} {-85.0949 79.3454} {-86.5073 79.7362} {-86.9318 80.2515} {-84.1984 80.2084} {-83.4087 80.1} {-81.8482 80.4644} {-84.1 80.58} {-87.599 80.5163} {-89.3666 80.8557} {-90.2 81.26} {-91.3679 81.5531} {-91.587 81.8943} {-90.1 82.085} {-88.9323 82.1175} {-86.9702 82.2796} {-85.5 82.6523} {-84.26 82.6} {-83.18 82.32} {-82.42 82.86} {-81.1 83.02} {-79.3066 83.1306} {-76.25 83.1721} {-75.7188 83.064} {-72.8315 83.2332} {-70.6658 83.1698} {-68.5 83.1063}}}}
Costa Rica,{{{-82.9658 8.22503} {-83.5084 8.44693} {-83.7115 8.65684} {-83.5963 8.83044} {-83.6326 9.05139} {-83.9099 9.2908} {-84.3034 9.48735} {-84.6476 9.61554} {-84.7134 9.90805} {-84.9757 10.0867} {-84.9114 9.79599} {-85.1109 9.55704} {-85.3395 9.83454} {-85.6608 9.93335} {-85.7974 10.1349} {-85.7917 10.4393} {-85.6593 10.7543} {-85.9417 10.8953} {-85.7125 11.0884} {-85.5619 11.2171} {-84.903 10.9523} {-84.6731 11.0827} {-84.3559 10.9992} {-84.1902 10.7935} {-83.8951 10.7268} {-83.6556 10.9388} {-83.4023 10.3954} {-83.0157 9.99298} {-82.5462 9.56613} {-82.9329 9.47681} {-82.9272 9.07433} {-82.7192 8.92571} {-82.8687 8.80727} {-82.8298 8.6263} {-82.9132 8.42352} {-82.9658 8.22503}}}
Cuba,{{{-82.2682 23.1886} {-81.4045 23.1173} {-80.6188 23.106} {-79.6795 22.7653} {-79.2815 22.3992} {-78.3474 22.5122} {-77.9933 22.2772} {-77.1464 21.6579} {-76.5238 21.2068} {-76.1946 21.2206} {-75.5982 21.0166} {-75.6711 20.7351} {-74.9339 20.6939} {-74.178 20.2846} {-74.2966 20.0504} {-74.9616 19.9234} {-75.6347 19.8738} {-76.3237 19.9529} {-77.7555 19.8555} {-77.0851 20.4134} {-77.4927 20.6731} {-78.1373 20.7399} {-78.4828 21.0286} {-78.7199 21.5981} {-79.285 21.5592} {-80.2175 21.8273} {-80.5175 22.0371} {-81.8209 22.1921} {-82.17 22.3871} {-81.795 22.637} {-82.7759 22.6882} {-83.4945 22.1685} {-83.9088 22.1546} {-84.0522 21.9106} {-84.547 21.8012} {-84.9749 21.896} {-84.4471 22.2049} {-84.2304 22.5658} {-83.7782 22.7881} {-83.2675 22.983} {-82.5104 23.0787} {-82.2682 23.1886}}}
Dominican Republic,{{{-71.7124 19.7145} {-71.5873 19.8849} {-70.8067 19.8803} {-70.2144 19.6229} {-69.9508 19.648} {-69.7693 19.2933} {-69.2221 19.3132} {-69.2543 19.0152} {-68.8094 18.9791} {-68.3179 18.6122} {-68.6893 18.2051} {-69.1649 18.4226} {-69.624 18.3807} {-69.9529 18.4283} {-70.1332 18.2459} {-70.5171 18.1843} {-70.6693 18.4269} {-71 18.2833} {-71.4002 17.5986} {-71.6577 17.7576} {-71.7083 18.045} {-71.6877 18.3167} {-71.9451 18.6169} {-71.7013 18.7854} {-71.6249 19.1698} {-71.7124 19.7145}}}
Greenland,{{{-46.7638 82.628} {-43.4064 83.2252} {-39.8975 83.1802} {-38.6221 83.549} {-35.0879 83.6451} {-27.1005 83.5197} {-20.8454 82.7267} {-22.6918 82.3417} {-26.5175 82.2977} {-31.9 82.2} {-31.3965 82.0215} {-27.8567 82.1318} {-24.8445 81.787} {-22.9033 82.0932} {-22.0718 81.7345} {-23.1696 81.1527} {-20.6236 81.5246} {-15.7682 81.9125} {-12.7702 81.7189} {-12.2086 81.2915} {-16.2853 80.58} {-16.85 80.35} {-20.0462 80.1771} {-17.7304 80.1291} {-18.9 79.4} {-19.705 78.7513} {-19.6735 77.6386} {-18.4729 76.9857} {-20.035 76.9443} {-21.6794 76.6279} {-19.8341 76.0981} {-19.599 75.2484} {-20.6682 75.1559} {-19.3728 74.2956} {-21.5942 74.2238} {-20.4345 73.8171} {-20.7623 73.4644} {-22.1722 73.3096} {-23.5659 73.3066} {-22.3131 72.6293} {-22.2995 72.1841} {-24.2783 72.5979} {-24.793 72.3302} {-23.443 72.0802} {-22.1328 71.469} {-21.7536 70.6637} {-23.536 70.471} {-24.307 70.8565} {-25.5434 71.4309} {-25.2014 70.7523} {-26.3628 70.2265} {-23.7274 70.184} {-22.349 70.1295} {-25.0293 69.2588} {-27.7474 68.4705} {-30.6737 68.125} {-31.7767 68.1208} {-32.8111 67.7355} {-34.202 66.6797} {-36.3528 65.9789} {-37.0438 65.9377} {-38.3751 65.6921} {-39.8122 65.4585} {-40.669 64.84} {-40.6828 64.139} {-41.1887 63.4825} {-42.8194 62.6823} {-42.4167 61.9009} {-42.8662 61.074} {-43.3784 60.0977} {-44.7875 60.0368} {-46.2636 60.8533} {-48.2629 60.8584} {-49.2331 61.4068} {-49.9004 62.3834} {-51.6332 63.6269} {-52.1401 64.2784} {-52.2766 65.1767} {-53.6617 66.0996} {-53.3016 66.8365} {-53.9691 67.189} {-52.9804 68.3576} {-51.4754 68.7296} {-51.0804 69.1478} {-50.8712 69.9291} {-52.0136 69.5749} {-52.5579 69.4262} {-53.4563 69.2836} {-54.6834 69.61} {-54.75 70.2893} {-54.3588 70.8213} {-53.4313 70.8358} {-51.3901 70.5698} {-53.1094 71.2048} {-54.0042 71.5472} {-55 71.4065} {-55.8347 71.6544} {-54.7182 72.5863} {-55.3263 72.9586} {-56.12 73.6498} {-57.3236 74.7103} {-58.5968 75.0986} {-58.5852 75.5173} {-61.2686 76.1024} {-63.3916 76.1752} {-66.0643 76.1349} {-68.5044 76.0614} {-69.6649 76.3798} {-71.4026 77.0086} {-68.7767 77.3231} {-66.764 77.376} {-71.0429 77.6359} {-73.297 78.0442} {-73.1594 78.4327} {-69.3735 78.9139} {-65.7107 79.3944} {-65.3239 79.7581} {-68.023 80.1172} {-67.1513 80.5158} {-63.6893 81.214} {-62.2344 81.3211} {-62.6512 81.7704} {-60.2825 82.0336} {-57.2074 82.1907} {-54.1344 82.1996} {-53.0433 81.8883} {-50.3906 82.4388} {-48.0039 82.0648} {-46.5998 81.9859} {-44.523 81.6607} {-46.9007 82.1998} {-46.7638 82.628}}}
Guatemala,{{{-90.0956 13.7353} {-90.6086 13.9098} {-91.2324 13.9278} {-91.6897 14.1262} {-92.2278 14.5388} {-92.2032 14.8301} {-92.0872 15.0646} {-92.2292 15.2514} {-91.748 16.0666} {-90.4645 16.0696} {-90.4389 16.4101} {-90.6008 16.4708} {-90.7118 16.6875} {-91.0817 16.9185} {-91.4539 17.2522} {-91.0023 17.2547} {-91.0015 17.8176} {-90.0679 17.8193} {-89.1431 17.8083} {-89.1508 17.0156} {-89.2291 15.8869} {-88.9306 15.8873} {-88.6046 15.7064} {-88.5184 15.8554} {-88.225 15.7277} {-88.6807 15.3462} {-89.1548 15.0664} {-89.2252 14.8743} {-89.1455 14.678} {-89.3533 14.4241} {-89.5873 14.3626} {-89.5342 14.2448} {-89.7219 14.1342} {-90.0647 13.882} {-90.0956 13.7353}}}
Honduras,{{{-87.3167 12.9847} {-87.4894 13.2975} {-87.7931 13.3845} {-87.7235 13.7851} {-87.8595 13.8933} {-88.0653 13.9646} {-88.504 13.8455} {-88.5412 13.9802} {-88.8431 14.1405} {-89.0585 14.34} {-89.3533 14.4241} {-89.1455 14.678} {-89.2252 14.8743} {-89.1548 15.0664} {-88.6807 15.3462} {-88.225 15.7277} {-88.1212 15.6887} {-87.9018 15.8645} {-87.6157 15.8788} {-87.5229 15.7973} {-87.3678 15.8469} {-86.9032 15.7567} {-86.4409 15.7828} {-86.1192 15.8934} {-86.002 16.0054} {-85.6833 15.9537} {-85.444 15.8857} {-85.1824 15.9092} {-84.9837 15.9959} {-84.527 15.8572} {-84.3683 15.8352} {-84.0631 15.6482} {-83.774 15.4241} {-83.4104 15.2709} {-83.1472 14.9958} {-83.49 15.0163} {-83.6286 14.8801} {-83.9757 14.7494} {-84.2283 14.7488} {-84.4493 14.6216} {-84.6496 14.6668} {-84.82 14.8196} {-84.9245 14.7905} {-85.0528 14.5515} {-85.1488 14.5602} {-85.1654 14.3544} {-85.5144 14.079} {-85.6987 13.9601} {-85.8013 13.8361} {-86.0963 14.0382} {-86.3121 13.7714} {-86.5207 13.7785} {-86.7551 13.7548} {-86.7338 13.2631} {-86.8806 13.2542} {-87.0058 13.0258} {-87.3167 12.9847}}}
Haiti,{{{-73.1898 19.9157} {-72.5797 19.8715} {-71.7124 19.7145} {-71.6249 19.1698} {-71.7013 18.7854} {-71.9451 18.6169} {-71.6877 18.3167} {-71.7083 18.045} {-72.3725 18.215} {-72.8444 18.1456} {-73.4546 18.2179} {-73.9224 18.031} {-74.458 18.3425} {-74.3699 18.6649} {-73.4495 18.5261} {-72.6949 18.4458} {-72.3349 18.6684} {-72.7916 19.1016} {-72.7841 19.4836} {-73.415 19.6396} {-73.1898 19.9157}}}
