Name,Value
0,110.566
1,105.782
2,93.8401
3,83.0076
4,106.129
5,115.206
6,106.486
7,121.293
8,98.6636
9,123.425
10,100.896
11,96.8269
12,116.024
13,129.115
14,117.824
15,131.837
16,151.261
17,158.243
18,172.076
19,195.8
20,193.979
21,188.167
22,180.031
23,200.653
24,219.649
25,243.776
26,234.837
27,215.21
28,214.191
29,208.334
30,199.374
31,200.465
32,212.778
33,191.321
34,174.213
35,196.292
36,204.698
37,220.827
38,224.141
39,237.005
40,261.911
41,275.744
42,260.64
43,252.536
44,228.946
45,220.179
46,242.636
47,229.247
48,227.512
49,239.838
50,222.65
51,218.861
52,241.55
53,234.672
54,256.561
55,241.163
56,226.457
57,211.588
58,223
59,221.76
60,239.002
61,225.436
62,226.058
63,213.442
64,234.922
65,218.95
66,207.475
67,212.339
68,202.604
69,183.615
70,159.809
71,157.536
72,139.79
73,159.806
74,153.338
75,146.048
76,155.517
77,154.873
78,179.136
79,186.365
80,179.951
81,188.485
82,185.559
83,180.107
84,190.605
85,180.906
86,165.331
87,167.632
88,183.256
89,196.567
90,214.794
91,192.561
92,202.331
93,204.434
94,193.63
95,209.534
96,232.302
97,247.047
98,249.983
99,255.823
100,267.368
101,289.194
102,284.483
103,268.861
104,288.085
105,304.379
106,300.078
107,275.087
108,298.917
109,309.049
110,319.06
111,327.675
112,325.532
113,334.908
114,317.263
115,337.617
116,342.314
117,325.724
118,330.963
119,324.717
120,313.72
121,334.161
122,343.657
123,359.739
124,343.155
125,337.305
126,323.49
127,303.688
128,280.707
129,287.874
130,278.148
131,273.6
132,250.658
133,247.067
134,258.144
135,275.307
136,266.372
137,255.763
138,278.646
139,299.36
140,300.985
141,303.283
142,285.468
143,301.004
144,280.929
145,294.261
146,307.432
147,326.378
148,309.134
149,318.731
150,314.776
151,332.908
152,347.003
153,326.149
154,329.357
155,312.397
156,294.057
157,304.044
158,288.809
159,303.586
160,306.967
161,292.817
162,289.614
163,274.648
164,289.65
165,285.455
166,267.262
167,268.022
168,257.056
169,249.506
170,234.549
171,216.855
172,196.304
173,194.975
174,212.513
175,211.291
176,229.502
177,216.51
178,209.806
179,208.992
180,212.234
181,196.243
182,179.381
183,160.488
184,160.755
185,179.259
186,183.924
187,188.72
188,171.941
189,155.257
190,148.078
191,171.659
192,186.347
193,191.744
194,215.555
195,216.064
196,222.796
197,234.507
198,221.986
199,241.494
200,256.717
201,238.597
202,255.03
203,265.97
204,254.054
205,240.815
206,245.738
207,264.524
208,259.196
209,265.885
210,256.205
211,249.076
212,269.087
213,279.508
214,265.683
215,280.784
216,258.043
217,277.455
218,276.207
219,273.803
220,260.581
221,282.699
222,302.077
223,316.113
224,333.67
225,350.372
226,356.224
227,370.545
228,359.032
229,342.704
230,339.325
231,336.34
232,324.686
233,319.897
234,329.321
235,323.104
236,334.237
237,323.447
238,299.386
239,306.452
240,314.568
241,304.997
242,304.475
243,328.89
244,319.475
245,315.42
246,315.201
247,338.679
248,336.119
249,346.755
250,341.957
251,355.151
252,379.566
253,360.621
254,364.322
255,345.012
256,353.218
257,344.346
258,337.184
259,340.8
260,359.875
261,360.624
262,343.473
263,329.861
264,347.208
265,342.266
266,335.774
267,325.632
268,315.99
269,310.666
270,315.702
271,330.644
272,335.776
273,319.591
274,298.222
275,279.402
276,256.913
277,270.668
278,246.222
279,230.097
280,240.413
281,227.227
282,212.473
283,189.71
284,198.06
285,177.701
286,202.061
287,204.207
288,195.585
289,217.205
290,201.43
291,214.147
292,204.727
293,182.906
294,191.064
295,173.878
296,155.816
297,148.783
298,130.102
299,150.677
300,170.144
301,166.274
302,185.055
303,171.765
304,158.16
305,169.708
306,172.895
307,164.927
308,188.315
309,194.052
310,208.202
311,215.851
312,206.748
313,228.348
314,215.984
315,205.023
316,185.066
317,189.464
318,188.91
319,201.74
320,213.609
321,223.857
322,203.353
323,209.734
324,232.839
325,239.111
326,258.508
327,277.68
328,295.959
329,287.805
330,312.441
331,301.614
332,294.315
333,314.64
334,311.195
335,309.145
336,297.772
337,306.997
338,303.922
339,313.63
340,290.221
341,270.461
342,250.986
343,262.33
344,255.565
345,232.392
346,242.133
347,223.567
348,210.074
349,189.36
350,213.415
351,235.492
352,232.117
353,230.163
354,224.607
355,209.796
356,214.498
357,192.423
358,210.004
359,214.498
360,226.178
361,234.411
362,235.537
363,239.717
364,252.336
365,262.377
366,240.524
367,256.645
368,274.989
369,294.119
370,273.845
371,292.388
372,316.825
373,292.924
374,300.398
375,312.357
376,330.305
377,353.653
378,334.83
379,347.977
380,368.503
381,359.116
382,367.954
383,380.548
384,394.03
385,374.257
386,374.022
387,398.784
388,400.881
389,376.2
390,368.891
391,345.018
392,333.397
393,346.932
394,338.26
395,332.997
396,316.044
397,292.967
398,276.78
399,296.762
400,283.304
401,282.625
402,305.522
403,326.505
404,340.874
405,320.861
406,329.519
407,330.556
408,323.662
409,325.13
410,339.781
411,338.616
412,360.689
413,365.151
414,340.43
415,341.951
416,325.208
417,345.888
418,347.274
419,354.605
420,345.681
421,352.072
422,344.346
423,341.874
424,325.462
425,316.109
426,313.087
427,312.982
428,334.041
429,343.972
430,332.213
431,336.023
432,342.808
433,335.631
434,317.075
435,302.717
436,309.665
437,305.367
438,327.964
439,304.553
440,323.024
441,332.143
442,341.123
443,360.888
444,349.096
445,363.641
446,359.311
447,358.01
448,340.277
449,318.158
450,312.678
451,321.766
452,336.741
453,323.446
454,320.638
455,300.774
456,316.35
457,337.672
458,353.23
459,358.4
460,369.919
461,391.796
462,397.439
463,386.679
464,383.782
465,399.156
466,406.591
467,400.272
468,387.061
469,368.942
470,383.015
471,401.449
472,424.758
473,414.646
474,407.63
475,383.023
476,368.567
477,380.635
478,391.152
479,401.643
480,393.926
481,400.184
482,388.601
483,409.333
484,412.691
485,421.24
486,401.365
487,399.696
488,406.448
489,386.97
490,364.798
491,346.621
492,353.841
493,329.094
494,347.828
495,352.106
496,354.928
497,364.364
498,374.568
499,377.634
500,387.17
501,396.34
502,402.28
503,416.514
504,436.108
505,450.084
506,458.037
507,444.957
508,454.902
509,432.011
510,450.142
511,430.583
512,420.997
513,435.268
514,453.837
515,464.59
516,453.649
517,444.213
518,444.263
519,435.19
520,446.793
521,438.574
522,423.332
523,423.344
524,405.654
525,421.678
526,424.675
527,423.732
528,433.998
529,442.007
530,434.595
531,430.525
532,449.432
533,464.598
534,480.526
535,500.363
536,486.338
537,496.971
538,503.514
539,514.176
540,502.561
541,492.702
542,480.46
543,497.064
544,480.7
545,462.764
546,442.986
547,448.367
548,434.353
549,431.444
550,418.925
551,432.082
552,447.83
553,440.612
554,424.669
555,434.43
556,430.256
557,445.422
558,422.815
559,443.427
560,460.876
561,437.851
562,459.685
563,480.689
564,492.322
565,507.919
566,529.522
567,521.969
568,499.306
569,493.443
570,473.401
571,489.567
572,494.024
573,491.313
574,491.973
575,514.483
576,527.142
577,520.186
578,511.055
579,525.853
580,535.827
581,554.903
582,553.749
583,542.211
584,518.633
585,538.531
586,539.603
587,539.295
588,550.315
589,556.786
590,554.038
591,552.816
592,562.553
593,545.299
594,528.228
595,528.966
596,552.636
597,537.408
598,541.683
599,533.8
600,524.989
601,524.212
602,543.383
603,558.839
604,556.618
605,576.651
606,590.471
607,574.669
608,595.972
609,610.558
610,595.819
611,611.728
612,621.065
613,624.558
614,631.35
615,632.052
616,629.944
617,627.636
618,615.923
619,611.324
620,590.009
621,588.605
622,570.159
623,552.188
