year,age,population
1990,<5,2704659
1990,5-13,4499890
1990,14-17,2159981
1990,18-24,3853788
1990,25-44,14106543
1990,45-64,8819342
1990,≥65,612463
1995,<5,1253780
1995,5-13,7437430
1995,14-17,7464329
1995,18-24,3853788
1995,25-44,22138221
1995,45-64,1231234
1995,≥65,632432
2000,<5,2128321
2000,5-13,4324324
2000,14-17,8932347
2000,18-24,3723434
2000,25-44,13334243
2000,45-64,3243243
2000,≥65,324432
2005,<5,4803434
2005,5-13,4234323
2005,14-17,3824333
2005,18-24,4844341
2005,25-44,12932883
2005,45-64,3898991
2005,≥65,743243
