X,Y
0,-1.80406
1,-5.36838
2,-7.19083
3,-7.78851
4,-3.23152
5,-4.83075
6,-1.63612
7,-4.9268
8,-5.7127
9,-5.44887
10,-3.17722
11,1.24909
12,1.37029
13,2.59163
14,6.87135
15,5.52016
16,9.29169
17,11.7943
18,8.71556
19,8.2429
20,11.168
21,11.1879
22,15.3642
23,15.773
24,18.0642
25,18.9033
26,14.687
27,18.2978
28,20.5147
29,18.7518
30,20.2618
31,25.0625
32,23.572
33,18.6116
34,19.5085
35,22.6623
36,25.1074
37,23.1549
38,18.7085
39,15.4097
40,16.5429
41,17.497
42,16.9967
43,20.585
44,23.8885
45,19.6713
46,24.3881
47,19.6645
48,19.0486
49,14.0539
50,13.184
51,8.43758
52,9.22073
53,10.0521
54,6.73387
55,6.35563
56,9.07699
57,5.11219
58,7.58852
59,12.3671
60,16.5885
61,21.3895
62,17.8719
63,17.2879
64,18.6873
65,20.3843
66,19.75
67,22.0168
68,24.5024
69,27.0651
70,23.0931
71,21.844
72,21.3392
73,16.7234
74,17.2947
75,12.8265
76,11.5116
77,10.4301
78,12.3164
79,10.6403
80,7.31292
81,3.79132
82,4.99895
83,1.33223
84,4.89834
85,7.10811
86,9.1489
87,7.56421
88,10.8672
89,6.80044
90,4.94454
91,7.59039
92,7.80439
93,5.82269
94,0.861528
95,2.59836
96,5.71918
97,8.10048
98,6.9538
99,8.1364
100,12.2892
101,12.9297
102,16.3707
103,18.0896
104,17.4569
105,20.4463
106,18.9174
107,15.9548
108,16.3549
109,18.8638
110,19.6848
111,22.1465
112,25.0388
113,26.4864
114,26.8326
115,24.706
116,21.4139
117,22.0838
118,21.5493
119,20.0844
120,16.3068
121,12.8872
122,9.5772
123,6.18772
124,6.16538
125,4.50594
126,4.36703
127,-0.31822
128,1.47237
129,-0.61934
130,-4.37391
131,-1.49937
132,2.95601
133,4.95088
134,8.48483
135,12.7666
136,12.4051
137,16.6734
138,12.6423
139,10.8298
140,14.4626
141,15.859
142,13.7449
143,12.248
144,14.1127
145,12.6053
146,7.61617
147,10.7175
148,11.7624
149,10.7292
150,5.97052
151,1.53057
152,-2.12437
153,-5.26722
154,-4.54709
155,-8.69918
156,-6.94746
157,-9.87162
158,-8.86781
159,-8.3295
160,-11.8027
161,-14.2704
162,-16.1281
163,-20.0448
164,-16.3951
165,-13.5585
166,-10.0905
167,-14.1948
168,-14.0808
169,-18.461
170,-20.3465
171,-15.7912
172,-17.5647
173,-18.3169
174,-20.9618
175,-23.4421
176,-20.6925
177,-17.4734
178,-13.9357
179,-11.14
180,-12.1968
181,-10.6348
182,-7.15597
183,-8.79488
184,-6.0142
185,-9.39271
186,-5.732
187,-9.24177
188,-13.8757
189,-8.90966
190,-6.29469
191,-5.14521
192,-6.3381
193,-8.49846
194,-5.13641
195,-3.7029
196,-2.00325
197,-5.11988
198,-2.3376
199,-0.0691414
200,-4.29049
201,-9.15155
202,-9.50053
203,-9.18741
204,-4.66189
205,-9.28846
206,-7.32436
207,-7.08566
208,-9.68401
209,-12.2136
210,-8.39197
211,-4.83076
212,-0.00402135
213,4.59238
214,2.28986
215,6.8426
216,2.02957
217,-1.15265
218,-1.04681
219,-4.81062
220,-2.95222
221,-5.09865
222,-0.457596
223,-1.83481
224,-6.71186
225,-7.65599
226,-7.23387
227,-7.97934
228,-9.82205
229,-9.22591
230,-5.98511
231,-4.21081
232,-5.12407
233,-3.27563
234,-1.00683
235,2.25262
236,6.03368
237,10.6033
238,9.98735
239,9.70587
240,13.0904
241,17.7428
242,13.1519
243,10.3183
244,5.52244
245,2.70645
246,-0.796291
247,0.683369
248,-3.75217
249,-8.10769
250,-11.4242
251,-15.6292
252,-11.3652
253,-7.44488
254,-8.41417
255,-8.95748
256,-10.3552
257,-13.729
258,-11.3851
259,-7.27953
260,-4.86903
261,-8.20046
262,-6.44158
263,-6.10614
264,-2.4482
265,1.73515
266,2.0255
267,5.58296
268,1.57735
269,1.07732
270,1.45998
271,3.96991
272,5.78887
273,5.36044
274,7.46723
275,8.44622
276,6.83641
277,8.9433
278,13.159
279,9.74202
280,12.5092
281,14.3977
282,10.7379
283,15.1978
284,13.3621
285,17.9185
286,20.0099
287,17.167
288,18.6444
289,15.1677
290,13.6851
291,12.8859
292,10.1656
293,8.02238
294,13.0114
295,17.5688
296,16.8218
297,15.8858
298,17.0251
299,17.7676
300,13.6324
301,18.1205
302,19.4533
303,23.5357
304,23.6639
305,21.8104
306,21.2965
307,16.8697
308,20.0882
309,18.7057
310,16.2573
311,19.6286
312,16.8209
313,19.9359
314,18.5489
315,15.6338
316,19.3155
317,20.2917
318,21.2277
319,23.8011
320,25.4335
321,27.4672
322,30.9801
323,27.1303
324,26.898
325,27.6094
326,28.9918
327,30.7769
328,26.9882
329,25.3525
330,25.7732
331,21.8267
332,25.9217
333,30.6571
334,26.2082
335,28.3536
336,23.7269
337,26.0193
338,27.2968
339,26.4899
340,27.2172
341,28.308
342,31.9893
343,27.3026
344,28.0588
345,30.4729
346,31.0678
347,26.8733
348,24.9718
349,23.1585
350,25.806
351,27.539
352,27.2169
353,27.9644
354,28.3583
355,31.7531
356,35.0706
357,31.2585
358,28.2269
359,23.7854
360,23.0714
361,28.0402
362,32.9681
363,28.9102
364,30.7819
365,25.8082
366,21.6908
367,20.9952
368,21.4248
369,17.1795
370,17.2882
371,14.4898
372,12.642
