Name,Value
0,-1.15824
1,-4.22407
2,-3.10175
3,0.90539
4,0.161084
5,2.60353
6,1.29062
7,5.69085
8,7.86661
9,6.5263
10,2.73461
11,-2.13408
12,-5.11568
13,-2.45162
14,1.86796
15,-0.772728
16,-5.08562
17,-2.88342
18,-2.92149
19,-6.25538
20,-6.82444
21,-7.47116
22,-3.3017
23,-7.14273
24,-11.469
25,-11.8921
26,-13.5954
27,-12.1645
28,-7.57193
29,-7.90692
30,-8.07783
31,-12.9546
32,-15.7596
33,-11.803
34,-9.904
35,-5.25819
36,-9.46315
37,-8.36158
38,-8.46177
39,-9.08124
40,-13.3621
41,-17.372
42,-20.3185
43,-20.1342
44,-16.7524
45,-12.3317
46,-16.8149
47,-11.992
48,-11.5938
49,-7.40033
50,-10.2355
51,-14.1264
52,-12.0825
53,-12.545
54,-12.253
55,-13.9323
56,-11.0024
57,-9.42448
58,-11.7064
59,-7.74551
60,-2.81101
61,-4.09373
62,-9.04809
63,-12.6255
64,-8.75022
65,-6.85833
66,-8.22479
67,-4.00943
68,-3.67926
69,-2.71997
70,-4.50908
71,-8.38401
72,-10.7836
73,-12.6979
74,-7.99891
75,-8.09316
76,-11.0182
77,-6.55869
78,-3.65385
79,-5.93219
80,-5.02668
81,-9.43637
82,-8.1889
83,-5.06538
84,-0.140097
85,2.29887
86,2.45439
87,-1.50986
88,-4.69912
89,0.195388
90,-0.0565466
91,3.35698
92,5.48648
93,1.24553
94,2.92353
95,-1.97274
96,-0.71698
97,3.93339
98,2.09825
99,2.6199
100,-1.09262
101,-2.90323
102,-4.97235
103,-7.38707
104,-12.1487
105,-16.9756
106,-21.5348
107,-26.1805
108,-25.1555
109,-30.1454
110,-32.6537
111,-35.5567
112,-37.6356
113,-39.895
114,-41.3578
115,-36.4398
116,-40.086
117,-35.5325
118,-38.3162
119,-35.4614
120,-39.1288
121,-34.2226
122,-33.587
123,-28.6254
124,-30.8522
125,-30.6093
126,-31.0231
127,-27.2734
128,-30.0885
129,-34.4256
130,-34.6103
131,-30.5755
132,-34.9579
133,-33.4462
134,-32.0338
135,-29.1889
136,-33.7299
137,-35.913
138,-32.7417
139,-29.592
140,-25.3224
141,-21.4648
142,-18.7342
143,-14.3563
144,-15.1137
145,-12.4848
146,-13.6579
147,-16.2907
148,-12.1441
149,-13.5516
150,-9.16404
151,-11.8369
152,-14.1132
153,-9.71879
154,-10.8306
155,-13.6431
156,-17.064
157,-14.4209
158,-9.53802
159,-6.28279
160,-7.77343
161,-10.1811
162,-13.1476
163,-9.94599
164,-13.1942
165,-10.289
166,-13.778
167,-18.0785
168,-13.1854
169,-9.58994
170,-5.35903
171,-2.34277
172,1.9088
173,-0.257578
174,3.02158
175,-1.36522
176,3.61964
177,3.55532
178,7.98632
179,9.35958
180,8.79034
181,8.96205
182,13.1803
183,10.0944
184,5.15355
185,5.03708
186,7.96483
