From,To,Attributes
LR_0,LR_2,"label='SS(B)',src_color=red"
LR_0,LR_1,"label='SS(S)',src_color=red"
LR_1,LR_3,"label='S($end)',src_color=green"
LR_2,LR_6,"label='SS(b)',src_color=blue"
LR_2,LR_5,"label='SS(a)',src_color=blue"
LR_2,LR_4,"label='S(A)',src_color=blue"
LR_5,LR_7,"label='S(b)',src_color=orange"
LR_5,LR_5,"label='S(a)',src_color=orange"
LR_6,LR_6,"label='S(b)',src_color=magenta"
LR_6,LR_5,"label='S(a)',src_color=magenta"
LR_7,LR_8,"label='S(b)',src_color=cyan"
LR_7,LR_5,"label='S(a)',src_color=cyan"
LR_8,LR_6,"label='S(b)',src_color=brown"
LR_8,LR_5,"label='S(a)',src_color=brown"
