From,To,Attributes
"1 BSD",,"color=gold1,font='Helvetica-Outline',angle=26,shape=polygon,num_sides=7"
"1 BSD","2 BSD","shape=polygon"
"2 BSD",,"color=blanchedalmond,font='Helvetica-Outline',angle=84,shape=polygon,num_sides=7"
"2 BSD","2.8 BSD","shape=polygon"
"2.8 BSD",,"color=lightskyblue1,font='Helvetica-Outline',angle=44,shape=polygon,num_sides=4"
"2.8 BSD","Ultrix-11","shape=polygon"
"2.8 BSD","2.9 BSD","shape=polygon"
"2.9 BSD",,"color=aquamarine2,font='Helvetica-Outline',angle=70,shape=polygon,num_sides=4"
"3 BSD",,"color=lemonchiffon,font='Helvetica-Outline',angle=18,shape=polygon,num_sides=10"
"3 BSD","4 BSD","shape=polygon"
"32V",,"color=steelblue3,font='Helvetica-Outline',angle=19,shape=polygon,num_sides=7"
"32V","3 BSD","shape=polygon"
"4 BSD",,"color=darkorange1,font='Helvetica-Outline',angle=24,shape=polygon,num_sides=5"
"4 BSD","4.1 BSD","shape=polygon"
"4.1 BSD",,"color=lightyellow1,font='Helvetica-Outline',angle=38,shape=polygon,num_sides=4"
"4.1 BSD","4.2 BSD","shape=polygon"
"4.1 BSD","2.8 BSD","shape=polygon"
"4.1 BSD","8th Edition","shape=polygon"
"4.2 BSD",,"color=darkorchid4,font='Helvetica-Outline',angle=50,shape=polygon,num_sides=10"
"4.2 BSD","4.3 BSD","shape=polygon"
"4.2 BSD","Ultrix-32","shape=polygon"
"4.3 BSD",,"color=lemonchiffon2,font='Helvetica-Outline',angle=76,shape=polygon,num_sides=10"
"5th Edition",,"color=salmon2,font='Helvetica-Outline',angle=28,shape=polygon,num_sides=9"
"5th Edition","6th Edition","shape=polygon"
"5th Edition","PWB 1.0","shape=polygon"
"6th Edition",,"color=deepskyblue,font='Helvetica-Outline',angle=11,shape=polygon,num_sides=5"
"6th Edition",LSX,"shape=polygon"
"6th Edition","1 BSD","shape=polygon"
"6th Edition","Mini Unix","shape=polygon"
"6th Edition",Wollongong,"shape=polygon"
"6th Edition",Interdata,"shape=polygon"
"7th Edition",,"color=chocolate,font='Helvetica-Outline',angle=65,shape=polygon,num_sides=10"
"7th Edition","8th Edition","shape=polygon"
"7th Edition","32V","shape=polygon"
"7th Edition",V7M,"shape=polygon"
"7th Edition","Ultrix-11","shape=polygon"
"7th Edition",Xenix,"shape=polygon"
"7th Edition","UniPlus+","shape=polygon"
"8th Edition",,"color=turquoise3,font='Helvetica-Outline',angle=50,shape=polygon,num_sides=4"
"8th Edition","9th Edition","shape=polygon"
"9th Edition",,"color=coral3,font='Helvetica-Outline',angle=55,shape=polygon,num_sides=7"
"CB Unix 1",,"color=firebrick,font='Helvetica-Outline',angle=42,shape=polygon,num_sides=9"
"CB Unix 1","CB Unix 2","shape=polygon"
"CB Unix 2",,"color=greenyellow,font='Helvetica-Outline',angle=32,shape=polygon,num_sides=10"
"CB Unix 2","CB Unix 3","shape=polygon"
"CB Unix 3",,"color=bisque4,font='Helvetica-Outline',angle=29,shape=polygon,num_sides=10"
"CB Unix 3","Unix/TS++","shape=polygon"
"CB Unix 3","PDP-11 Sys V","shape=polygon"
"CB Unix 3","TS 4.0","shape=polygon"
"Mini Unix",,"color=greenyellow,font='Helvetica-Outline',angle=2,shape=polygon,num_sides=4"
"PDP-11 Sys V",,"color=cadetblue1,font='Helvetica-Outline',angle=40,shape=polygon,num_sides=9"
"PWB 1.0",,"color=goldenrod2,font='Helvetica-Outline',angle=79,shape=polygon,num_sides=8"
"PWB 1.0","PWB 1.2","shape=polygon"
"PWB 1.0","USG 1.0","shape=polygon"
"PWB 1.2",,"color=cyan,font='Helvetica-Outline',angle=84,shape=polygon,num_sides=7"
"PWB 1.2","PWB 2.0","shape=polygon"
"PWB 2.0",,"color=darkolivegreen3,font='Helvetica-Outline',angle=34,shape=polygon,num_sides=6"
"PWB 2.0","Unix/TS 3.0","shape=polygon"
"System V.0",,"color=darkorange1,font='Helvetica-Outline',angle=26,shape=polygon,num_sides=9"
"System V.0","System V.2","shape=polygon"
"System V.2",,"color=darkolivegreen4,font='Helvetica-Outline',angle=33,shape=polygon,num_sides=6"
"System V.2","System V.3","shape=polygon"
"System V.3",,"color=lightsteelblue1,font='Helvetica-Outline',angle=58,shape=polygon,num_sides=7"
"TS 4.0",,"color=crimson,font='Helvetica-Outline',angle=50,shape=polygon,num_sides=10"
"TS 4.0","System V.0","shape=polygon"
